District,zone,belt,region,Year BS,Year AD,Maternal/Neonatal Death,Number of people,Zone,Belt,Region
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Neonatal Death,3,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Still birth,12,Mechi,Mountain,Eastern
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Maternal Death,5,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Neonatal Death,35,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Still birth,32,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Maternal Death,5,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Neonatal Death,25,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Still birth,24,Mechi,Hill,Eastern
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Maternal Death,6,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Neonatal Death,32,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Still birth,186,Mechi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Maternal Death,13,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Neonatal Death,133,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Still birth,413,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Maternal Death,13,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Neonatal Death,47,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Still birth,46,Kosi,Terai,Eastern
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Maternal Death,2,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Neonatal Death,18,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Still birth,15,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Maternal Death,1,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Neonatal Death,2,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Still birth,9,Kosi,Hill,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Maternal Death,2,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Neonatal Death,20,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Still birth,40,Kosi,Mountain,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Maternal Death,3,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Neonatal Death,22,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Still birth,20,Kosi,Hill,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Maternal Death,4,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Neonatal Death,14,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Still birth,12,Sagarmatha,Mountain,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Maternal Death,3,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Neonatal Death,24,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Still birth,31,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Maternal Death,2,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Neonatal Death,8,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Still birth,6,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Maternal Death,6,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Neonatal Death,15,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Still birth,29,Sagarmatha,Hill,Eastern
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Maternal Death,7,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Neonatal Death,20,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Still birth,141,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Maternal Death,8,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Neonatal Death,15,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Still birth,107,Sagarmatha,Terai,Eastern
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,Maternal Death,5,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,Neonatal Death,13,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,Still birth,23,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Maternal Death,3,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Neonatal Death,20,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Still birth,45,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Maternal Death,3,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Neonatal Death,35,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Still birth,52,Janakpur,Terai,Central
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Maternal Death,1,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Neonatal Death,20,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Still birth,34,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Maternal Death,3,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Neonatal Death,17,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Still birth,26,Janakpur,Hill,Central
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Maternal Death,1,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Neonatal Death,17,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Still birth,25,Janakpur,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,Maternal Death,7,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,Neonatal Death,46,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,Still birth,40,Bagmati,Mountain,Central
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Maternal Death,4,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Neonatal Death,41,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Still birth,84,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Maternal Death,0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Neonatal Death,0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Still birth,0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Maternal Death,0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Neonatal Death,2,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Still birth,1,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Maternal Death,1,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Neonatal Death,16,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Still birth,9,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Maternal Death,0,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Neonatal Death,0,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Still birth,13,Bagmati,Hill,Central
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Maternal Death,0,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Neonatal Death,2,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Still birth,2,Bagmati,Mountain,Central
Dhading,Bagmati,Hill,Central,2068/69,2011/12,Maternal Death,3,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2068/69,2011/12,Neonatal Death,26,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2068/69,2011/12,Still birth,52,Bagmati,Hill,Central
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,Maternal Death,10,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,Neonatal Death,24,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,Still birth,33,Narayani,Hill,Central
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Maternal Death,3,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Neonatal Death,11,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Still birth,21,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2068/69,2011/12,Maternal Death,2,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2068/69,2011/12,Neonatal Death,8,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2068/69,2011/12,Still birth,23,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2068/69,2011/12,Maternal Death,0,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2068/69,2011/12,Neonatal Death,0,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2068/69,2011/12,Still birth,0,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,Maternal Death,5,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,Neonatal Death,62,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,Still birth,80,Narayani,Terai,Central
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Maternal Death,3,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Neonatal Death,42,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Still birth,54,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Maternal Death,2,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Neonatal Death,17,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Still birth,34,Gandaki,Hill,Western
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Maternal Death,0,Gandaki,Hill,Western
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Neonatal Death,18,Gandaki,Hill,Western
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Still birth,12,Gandaki,Hill,Western
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Maternal Death,0,Gandaki,Hill,Western
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Neonatal Death,11,Gandaki,Hill,Western
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Still birth,31,Gandaki,Hill,Western
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Maternal Death,4,Gandaki,Hill,Western
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Neonatal Death,83,Gandaki,Hill,Western
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Still birth,143,Gandaki,Hill,Western
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Maternal Death,0,Gandaki,Mountain,Western
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Neonatal Death,0,Gandaki,Mountain,Western
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Still birth,0,Gandaki,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Maternal Death,0,Dhawalagiri,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Neonatal Death,1,Dhawalagiri,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Still birth,2,Dhawalagiri,Mountain,Western
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Maternal Death,3,Dhawalagiri,Hill,Western
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Neonatal Death,15,Dhawalagiri,Hill,Western
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Still birth,17,Dhawalagiri,Hill,Western
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Maternal Death,0,Dhawalagiri,Hill,Western
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Neonatal Death,8,Dhawalagiri,Hill,Western
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Still birth,19,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Maternal Death,5,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Neonatal Death,14,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Still birth,25,Dhawalagiri,Hill,Western
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Maternal Death,0,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Neonatal Death,2,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Still birth,24,Lumbini,Hill,Western
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Maternal Death,7,Lumbini,Hill,Western
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Neonatal Death,38,Lumbini,Hill,Western
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Still birth,111,Lumbini,Hill,Western
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Maternal Death,12,Lumbini,Terai,Western
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Neonatal Death,57,Lumbini,Terai,Western
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Still birth,51,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Maternal Death,0,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Neonatal Death,0,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Still birth,0,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,Maternal Death,6,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,Neonatal Death,27,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,Still birth,31,Lumbini,Terai,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Maternal Death,4,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Neonatal Death,27,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Still birth,36,Lumbini,Hill,Western
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,Maternal Death,3,Rapti,Hill,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,Neonatal Death,14,Rapti,Hill,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,Still birth,34,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,Maternal Death,5,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,Neonatal Death,22,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,Still birth,29,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,Maternal Death,4,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,Neonatal Death,26,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,Still birth,31,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,Maternal Death,9,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,Neonatal Death,62,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,Still birth,46,Rapti,Hill,Mid-Western
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,Maternal Death,3,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,Neonatal Death,38,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,Still birth,92,Rapti,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Maternal Death,22,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Neonatal Death,295,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Still birth,317,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Maternal Death,7,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Neonatal Death,79,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Still birth,128,Bheri,Terai,Mid-Western
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,Maternal Death,5,Bheri,Hill,Mid-Western
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,Neonatal Death,63,Bheri,Hill,Mid-Western
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,Still birth,160,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,Maternal Death,4,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,Neonatal Death,75,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,Still birth,118,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,Maternal Death,4,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,Neonatal Death,39,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,Still birth,24,Bheri,Hill,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Maternal Death,1,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Neonatal Death,1,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Still birth,2,Karnali,Mountain,Mid-Western
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Maternal Death,7,Karnali,Mountain,Mid-Western
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Neonatal Death,44,Karnali,Mountain,Mid-Western
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Still birth,47,Karnali,Mountain,Mid-Western
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,Maternal Death,8,Karnali,Mountain,Mid-Western
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,Neonatal Death,34,Karnali,Mountain,Mid-Western
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,Still birth,28,Karnali,Mountain,Mid-Western
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,Maternal Death,4,Karnali,Mountain,Mid-Western
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,Neonatal Death,14,Karnali,Mountain,Mid-Western
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,Still birth,14,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Maternal Death,5,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Neonatal Death,24,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Still birth,6,Karnali,Mountain,Mid-Western
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Maternal Death,2,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Neonatal Death,31,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Still birth,22,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Maternal Death,2,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Neonatal Death,61,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Still birth,86,Seti,Mountain,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Maternal Death,4,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Neonatal Death,49,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Still birth,80,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Maternal Death,6,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Neonatal Death,83,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Still birth,57,Seti,Hill,Far-Western
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,Maternal Death,16,Seti,Terai,Far-Western
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,Neonatal Death,71,Seti,Terai,Far-Western
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,Still birth,159,Seti,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,Maternal Death,2,Mahakali,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,Neonatal Death,62,Mahakali,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,Still birth,74,Mahakali,Terai,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,Maternal Death,6,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,Neonatal Death,28,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,Still birth,80,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Maternal Death,8,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Neonatal Death,81,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Still birth,62,Mahakali,Hill,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2068/69,2011/12,Maternal Death,6,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2068/69,2011/12,Neonatal Death,17,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2068/69,2011/12,Still birth,23,Mahakali,Mountain,Far-Western
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Maternal Death,6,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Neonatal Death,5,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Still birth,11,Mechi,Mountain,Eastern
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Maternal Death,1,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Neonatal Death,17,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Still birth,35,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,Maternal Death,4,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,Neonatal Death,11,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,Still birth,34,Mechi,Hill,Eastern
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,Maternal Death,8,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,Neonatal Death,33,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,Still birth,127,Mechi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2069/70,2012/13,Maternal Death,10,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2069/70,2012/13,Neonatal Death,136,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2069/70,2012/13,Still birth,294,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,Maternal Death,25,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,Neonatal Death,147,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,Still birth,47,Kosi,Terai,Eastern
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,Maternal Death,1,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,Neonatal Death,17,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,Still birth,12,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2069/70,2012/13,Maternal Death,0,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2069/70,2012/13,Neonatal Death,0,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2069/70,2012/13,Still birth,7,Kosi,Hill,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,Maternal Death,3,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,Neonatal Death,15,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,Still birth,45,Kosi,Mountain,Eastern
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,Maternal Death,1,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,Neonatal Death,12,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,Still birth,21,Kosi,Hill,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,Maternal Death,3,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,Neonatal Death,16,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,Still birth,18,Sagarmatha,Mountain,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,Maternal Death,5,Sagarmatha,Hill,Eastern
