District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Value
Nuwakot,Bagmati,Hill,Central,2070/71,2013/14,PHC-ORC Conduction (Times),1837
Nuwakot,Bagmati,Hill,Central,2070/71,2013/14,Primary Treatment (Persons),15970
Nuwakot,Bagmati,Hill,Central,2070/71,2013/14,Depo Service Provide (Persons),5157
Nuwakot,Bagmati,Hill,Central,2070/71,2013/14,ANC Checkup,1438
Nuwakot,Bagmati,Hill,Central,2070/71,2013/14,PNC Serice (Persons),1003
Nuwakot,Bagmati,Hill,Central,2070/71,2013/14,Growth Monitoring <5 yrs,8931
Rasuwa,Bagmati,Mountain,Central,2070/71,2013/14,PHC-ORC Conduction (Times),563
Rasuwa,Bagmati,Mountain,Central,2070/71,2013/14,Primary Treatment (Persons),5357
Rasuwa,Bagmati,Mountain,Central,2070/71,2013/14,Depo Service Provide (Persons),506
Rasuwa,Bagmati,Mountain,Central,2070/71,2013/14,ANC Checkup,646
Rasuwa,Bagmati,Mountain,Central,2070/71,2013/14,PNC Serice (Persons),117
Rasuwa,Bagmati,Mountain,Central,2070/71,2013/14,Growth Monitoring <5 yrs,2426
Dhading,Bagmati,Hill,Central,2070/71,2013/14,PHC-ORC Conduction (Times),2010
Dhading,Bagmati,Hill,Central,2070/71,2013/14,Primary Treatment (Persons),18740
Dhading,Bagmati,Hill,Central,2070/71,2013/14,Depo Service Provide (Persons),8761
Dhading,Bagmati,Hill,Central,2070/71,2013/14,ANC Checkup,2886
Dhading,Bagmati,Hill,Central,2070/71,2013/14,PNC Serice (Persons),1215
Dhading,Bagmati,Hill,Central,2070/71,2013/14,Growth Monitoring <5 yrs,17871
Makawanpur,Narayani,Hill,Central,2070/71,2013/14,PHC-ORC Conduction (Times),1539
Makawanpur,Narayani,Hill,Central,2070/71,2013/14,Primary Treatment (Persons),12719
Makawanpur,Narayani,Hill,Central,2070/71,2013/14,Depo Service Provide (Persons),8449
Makawanpur,Narayani,Hill,Central,2070/71,2013/14,ANC Checkup,3414
Makawanpur,Narayani,Hill,Central,2070/71,2013/14,PNC Serice (Persons),533
Makawanpur,Narayani,Hill,Central,2070/71,2013/14,Growth Monitoring <5 yrs,13190
Rautahat,Narayani,Terai,Central,2070/71,2013/14,PHC-ORC Conduction (Times),3405
Rautahat,Narayani,Terai,Central,2070/71,2013/14,Primary Treatment (Persons),21404
Rautahat,Narayani,Terai,Central,2070/71,2013/14,Depo Service Provide (Persons),3071
Rautahat,Narayani,Terai,Central,2070/71,2013/14,ANC Checkup,13940
Rautahat,Narayani,Terai,Central,2070/71,2013/14,PNC Serice (Persons),6018
Rautahat,Narayani,Terai,Central,2070/71,2013/14,Growth Monitoring <5 yrs,25051
Bara,Narayani,Terai,Central,2070/71,2013/14,PHC-ORC Conduction (Times),2345
Bara,Narayani,Terai,Central,2070/71,2013/14,Primary Treatment (Persons),13381
Bara,Narayani,Terai,Central,2070/71,2013/14,Depo Service Provide (Persons),2028
Bara,Narayani,Terai,Central,2070/71,2013/14,ANC Checkup,7300
Bara,Narayani,Terai,Central,2070/71,2013/14,PNC Serice (Persons),2443
Bara,Narayani,Terai,Central,2070/71,2013/14,Growth Monitoring <5 yrs,19747
Parsa,Narayani,Terai,Central,2070/71,2013/14,PHC-ORC Conduction (Times),0
Parsa,Narayani,Terai,Central,2070/71,2013/14,Primary Treatment (Persons),0
Parsa,Narayani,Terai,Central,2070/71,2013/14,Depo Service Provide (Persons),0
Parsa,Narayani,Terai,Central,2070/71,2013/14,ANC Checkup,0
Parsa,Narayani,Terai,Central,2070/71,2013/14,PNC Serice (Persons),0
Parsa,Narayani,Terai,Central,2070/71,2013/14,Growth Monitoring <5 yrs,0
Chitwan,Narayani,Terai,Central,2070/71,2013/14,PHC-ORC Conduction (Times),1239
Chitwan,Narayani,Terai,Central,2070/71,2013/14,Primary Treatment (Persons),10684
Chitwan,Narayani,Terai,Central,2070/71,2013/14,Depo Service Provide (Persons),3020
Chitwan,Narayani,Terai,Central,2070/71,2013/14,ANC Checkup,3199
Chitwan,Narayani,Terai,Central,2070/71,2013/14,PNC Serice (Persons),910
Chitwan,Narayani,Terai,Central,2070/71,2013/14,Growth Monitoring <5 yrs,9960
Gorkha,Gandaki,Hill,Western,2070/71,2013/14,PHC-ORC Conduction (Times),2345
Gorkha,Gandaki,Hill,Western,2070/71,2013/14,Primary Treatment (Persons),24738
Gorkha,Gandaki,Hill,Western,2070/71,2013/14,Depo Service Provide (Persons),3287
Gorkha,Gandaki,Hill,Western,2070/71,2013/14,ANC Checkup,1930
Gorkha,Gandaki,Hill,Western,2070/71,2013/14,PNC Serice (Persons),700
Gorkha,Gandaki,Hill,Western,2070/71,2013/14,Growth Monitoring <5 yrs,12632
Lamjung,Gandaki,Hill,Western,2070/71,2013/14,PHC-ORC Conduction (Times),2062
Lamjung,Gandaki,Hill,Western,2070/71,2013/14,Primary Treatment (Persons),20974
Lamjung,Gandaki,Hill,Western,2070/71,2013/14,Depo Service Provide (Persons),1056
Lamjung,Gandaki,Hill,Western,2070/71,2013/14,ANC Checkup,1949
Lamjung,Gandaki,Hill,Western,2070/71,2013/14,PNC Serice (Persons),265
Lamjung,Gandaki,Hill,Western,2070/71,2013/14,Growth Monitoring <5 yrs,13020
Tanahu,Gandaki,Hill,Western,2070/71,2013/14,PHC-ORC Conduction (Times),2014
Tanahu,Gandaki,Hill,Western,2070/71,2013/14,Primary Treatment (Persons),16574
Tanahu,Gandaki,Hill,Western,2070/71,2013/14,Depo Service Provide (Persons),2328
Tanahu,Gandaki,Hill,Western,2070/71,2013/14,ANC Checkup,2844
Tanahu,Gandaki,Hill,Western,2070/71,2013/14,PNC Serice (Persons),913
Tanahu,Gandaki,Hill,Western,2070/71,2013/14,Growth Monitoring <5 yrs,9617
Syangja,Gandaki,Hill,Western,2070/71,2013/14,PHC-ORC Conduction (Times),2073
Syangja,Gandaki,Hill,Western,2070/71,2013/14,Primary Treatment (Persons),15708
Syangja,Gandaki,Hill,Western,2070/71,2013/14,Depo Service Provide (Persons),1173
Syangja,Gandaki,Hill,Western,2070/71,2013/14,ANC Checkup,2076
Syangja,Gandaki,Hill,Western,2070/71,2013/14,PNC Serice (Persons),432
Syangja,Gandaki,Hill,Western,2070/71,2013/14,Growth Monitoring <5 yrs,10104
Kaski,Gandaki,Hill,Western,2070/71,2013/14,PHC-ORC Conduction (Times),1968
Kaski,Gandaki,Hill,Western,2070/71,2013/14,Primary Treatment (Persons),24296
Kaski,Gandaki,Hill,Western,2070/71,2013/14,Depo Service Provide (Persons),2263
Kaski,Gandaki,Hill,Western,2070/71,2013/14,ANC Checkup,3254
Kaski,Gandaki,Hill,Western,2070/71,2013/14,PNC Serice (Persons),406
Kaski,Gandaki,Hill,Western,2070/71,2013/14,Growth Monitoring <5 yrs,22880
Manang,Gandaki,Mountain,Western,2070/71,2013/14,PHC-ORC Conduction (Times),111
Manang,Gandaki,Mountain,Western,2070/71,2013/14,Primary Treatment (Persons),701
Manang,Gandaki,Mountain,Western,2070/71,2013/14,Depo Service Provide (Persons),3
Manang,Gandaki,Mountain,Western,2070/71,2013/14,ANC Checkup,10
Manang,Gandaki,Mountain,Western,2070/71,2013/14,PNC Serice (Persons),3
Manang,Gandaki,Mountain,Western,2070/71,2013/14,Growth Monitoring <5 yrs,115
Mustang,Dhawalagiri,Mountain,Western,2070/71,2013/14,PHC-ORC Conduction (Times),148
Mustang,Dhawalagiri,Mountain,Western,2070/71,2013/14,Primary Treatment (Persons),981
Mustang,Dhawalagiri,Mountain,Western,2070/71,2013/14,Depo Service Provide (Persons),89
Mustang,Dhawalagiri,Mountain,Western,2070/71,2013/14,ANC Checkup,37
Mustang,Dhawalagiri,Mountain,Western,2070/71,2013/14,PNC Serice (Persons),10
Mustang,Dhawalagiri,Mountain,Western,2070/71,2013/14,Growth Monitoring <5 yrs,388
Myagdi,Dhawalagiri,Hill,Western,2070/71,2013/14,PHC-ORC Conduction (Times),941
Myagdi,Dhawalagiri,Hill,Western,2070/71,2013/14,Primary Treatment (Persons),6963
Myagdi,Dhawalagiri,Hill,Western,2070/71,2013/14,Depo Service Provide (Persons),745
Myagdi,Dhawalagiri,Hill,Western,2070/71,2013/14,ANC Checkup,1237
Myagdi,Dhawalagiri,Hill,Western,2070/71,2013/14,PNC Serice (Persons),232
Myagdi,Dhawalagiri,Hill,Western,2070/71,2013/14,Growth Monitoring <5 yrs,4492
Parbat,Dhawalagiri,Hill,Western,2070/71,2013/14,PHC-ORC Conduction (Times),1009
Parbat,Dhawalagiri,Hill,Western,2070/71,2013/14,Primary Treatment (Persons),7588
Parbat,Dhawalagiri,Hill,Western,2070/71,2013/14,Depo Service Provide (Persons),319
Parbat,Dhawalagiri,Hill,Western,2070/71,2013/14,ANC Checkup,695
Parbat,Dhawalagiri,Hill,Western,2070/71,2013/14,PNC Serice (Persons),109
Parbat,Dhawalagiri,Hill,Western,2070/71,2013/14,Growth Monitoring <5 yrs,4508
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,PHC-ORC Conduction (Times),1500
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,Primary Treatment (Persons),20472
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,Depo Service Provide (Persons),1038
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,ANC Checkup,1964
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,PNC Serice (Persons),769
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,Growth Monitoring <5 yrs,7448
Gulmi,Lumbini,Hill,Western,2070/71,2013/14,PHC-ORC Conduction (Times),4211
Gulmi,Lumbini,Hill,Western,2070/71,2013/14,Primary Treatment (Persons),17088
Gulmi,Lumbini,Hill,Western,2070/71,2013/14,Depo Service Provide (Persons),2730
Gulmi,Lumbini,Hill,Western,2070/71,2013/14,ANC Checkup,3702
Gulmi,Lumbini,Hill,Western,2070/71,2013/14,PNC Serice (Persons),899
Gulmi,Lumbini,Hill,Western,2070/71,2013/14,Growth Monitoring <5 yrs,14808
Palpa,Lumbini,Hill,Western,2070/71,2013/14,PHC-ORC Conduction (Times),2117
Palpa,Lumbini,Hill,Western,2070/71,2013/14,Primary Treatment (Persons),18964
Palpa,Lumbini,Hill,Western,2070/71,2013/14,Depo Service Provide (Persons),2370
Palpa,Lumbini,Hill,Western,2070/71,2013/14,ANC Checkup,2849
Palpa,Lumbini,Hill,Western,2070/71,2013/14,PNC Serice (Persons),212
Palpa,Lumbini,Hill,Western,2070/71,2013/14,Growth Monitoring <5 yrs,7298
Nawalparasi,Lumbini,Terai,Western,2070/71,2013/14,PHC-ORC Conduction (Times),2235
Nawalparasi,Lumbini,Terai,Western,2070/71,2013/14,Primary Treatment (Persons),17819
Nawalparasi,Lumbini,Terai,Western,2070/71,2013/14,Depo Service Provide (Persons),1514
Nawalparasi,Lumbini,Terai,Western,2070/71,2013/14,ANC Checkup,6404
Nawalparasi,Lumbini,Terai,Western,2070/71,2013/14,PNC Serice (Persons),662
Nawalparasi,Lumbini,Terai,Western,2070/71,2013/14,Growth Monitoring <5 yrs,20218
Rupandehi,Lumbini,Terai,Western,2070/71,2013/14,PHC-ORC Conduction (Times),0
Rupandehi,Lumbini,Terai,Western,2070/71,2013/14,Primary Treatment (Persons),0
Rupandehi,Lumbini,Terai,Western,2070/71,2013/14,Depo Service Provide (Persons),0
Rupandehi,Lumbini,Terai,Western,2070/71,2013/14,ANC Checkup,0
Rupandehi,Lumbini,Terai,Western,2070/71,2013/14,PNC Serice (Persons),0
Rupandehi,Lumbini,Terai,Western,2070/71,2013/14,Growth Monitoring <5 yrs,0
Kapilvastu,Lumbini,Terai,Western,2070/71,2013/14,PHC-ORC Conduction (Times),2962
Kapilvastu,Lumbini,Terai,Western,2070/71,2013/14,Primary Treatment (Persons),23973
Kapilvastu,Lumbini,Terai,Western,2070/71,2013/14,Depo Service Provide (Persons),3272
Kapilvastu,Lumbini,Terai,Western,2070/71,2013/14,ANC Checkup,11836
Kapilvastu,Lumbini,Terai,Western,2070/71,2013/14,PNC Serice (Persons),4602
Kapilvastu,Lumbini,Terai,Western,2070/71,2013/14,Growth Monitoring <5 yrs,29906
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,PHC-ORC Conduction (Times),799
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,Primary Treatment (Persons),14349
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,Depo Service Provide (Persons),800
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,ANC Checkup,1247
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,PNC Serice (Persons),102
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,Growth Monitoring <5 yrs,2621
Pyuthan,Rapti,Hill,Mid-Western,2070/71,2013/14,PHC-ORC Conduction (Times),1439
Pyuthan,Rapti,Hill,Mid-Western,2070/71,2013/14,Primary Treatment (Persons),11455
Pyuthan,Rapti,Hill,Mid-Western,2070/71,2013/14,Depo Service Provide (Persons),2004
Pyuthan,Rapti,Hill,Mid-Western,2070/71,2013/14,ANC Checkup,1689
Pyuthan,Rapti,Hill,Mid-Western,2070/71,2013/14,PNC Serice (Persons),365
Pyuthan,Rapti,Hill,Mid-Western,2070/71,2013/14,Growth Monitoring <5 yrs,9975
Rolpa,Rapti,Hill,Mid-Western,2070/71,2013/14,PHC-ORC Conduction (Times),2086
Rolpa,Rapti,Hill,Mid-Western,2070/71,2013/14,Primary Treatment (Persons),12788
Rolpa,Rapti,Hill,Mid-Western,2070/71,2013/14,Depo Service Provide (Persons),2110
Rolpa,Rapti,Hill,Mid-Western,2070/71,2013/14,ANC Checkup,1732
Rolpa,Rapti,Hill,Mid-Western,2070/71,2013/14,PNC Serice (Persons),234
Rolpa,Rapti,Hill,Mid-Western,2070/71,2013/14,Growth Monitoring <5 yrs,14358
Rukum,Rapti,Hill,Mid-Western,2070/71,2013/14,PHC-ORC Conduction (Times),1375
Rukum,Rapti,Hill,Mid-Western,2070/71,2013/14,Primary Treatment (Persons),8604
Rukum,Rapti,Hill,Mid-Western,2070/71,2013/14,Depo Service Provide (Persons),2637
Rukum,Rapti,Hill,Mid-Western,2070/71,2013/14,ANC Checkup,1347
Rukum,Rapti,Hill,Mid-Western,2070/71,2013/14,PNC Serice (Persons),415
Rukum,Rapti,Hill,Mid-Western,2070/71,2013/14,Growth Monitoring <5 yrs,13174
Salyan,Rapti,Hill,Mid-Western,2070/71,2013/14,PHC-ORC Conduction (Times),1918
Salyan,Rapti,Hill,Mid-Western,2070/71,2013/14,Primary Treatment (Persons),11486
Salyan,Rapti,Hill,Mid-Western,2070/71,2013/14,Depo Service Provide (Persons),4674
Salyan,Rapti,Hill,Mid-Western,2070/71,2013/14,ANC Checkup,1305
Salyan,Rapti,Hill,Mid-Western,2070/71,2013/14,PNC Serice (Persons),195
Salyan,Rapti,Hill,Mid-Western,2070/71,2013/14,Growth Monitoring <5 yrs,14076
Dang,Rapti,Terai,Mid-Western,2070/71,2013/14,PHC-ORC Conduction (Times),1392
Dang,Rapti,Terai,Mid-Western,2070/71,2013/14,Primary Treatment (Persons),8106
Dang,Rapti,Terai,Mid-Western,2070/71,2013/14,Depo Service Provide (Persons),5795
Dang,Rapti,Terai,Mid-Western,2070/71,2013/14,ANC Checkup,3804
Dang,Rapti,Terai,Mid-Western,2070/71,2013/14,PNC Serice (Persons),341
Dang,Rapti,Terai,Mid-Western,2070/71,2013/14,Growth Monitoring <5 yrs,34767
Banke,Bheri,Terai,Mid-Western,2070/71,2013/14,PHC-ORC Conduction (Times),1543
Banke,Bheri,Terai,Mid-Western,2070/71,2013/14,Primary Treatment (Persons),11884
Banke,Bheri,Terai,Mid-Western,2070/71,2013/14,Depo Service Provide (Persons),2758
Banke,Bheri,Terai,Mid-Western,2070/71,2013/14,ANC Checkup,9488
Banke,Bheri,Terai,Mid-Western,2070/71,2013/14,PNC Serice (Persons),556
Banke,Bheri,Terai,Mid-Western,2070/71,2013/14,Growth Monitoring <5 yrs,16520
Bardiya,Bheri,Terai,Mid-Western,2070/71,2013/14,PHC-ORC Conduction (Times),1696
Bardiya,Bheri,Terai,Mid-Western,2070/71,2013/14,Primary Treatment (Persons),10010
Bardiya,Bheri,Terai,Mid-Western,2070/71,2013/14,Depo Service Provide (Persons),4238
Bardiya,Bheri,Terai,Mid-Western,2070/71,2013/14,ANC Checkup,9619
Bardiya,Bheri,Terai,Mid-Western,2070/71,2013/14,PNC Serice (Persons),722
Bardiya,Bheri,Terai,Mid-Western,2070/71,2013/14,Growth Monitoring <5 yrs,33466
Surkhet,Bheri,Hill,Mid-Western,2070/71,2013/14,PHC-ORC Conduction (Times),1756
Surkhet,Bheri,Hill,Mid-Western,2070/71,2013/14,Primary Treatment (Persons),15592
Surkhet,Bheri,Hill,Mid-Western,2070/71,2013/14,Depo Service Provide (Persons),4038
Surkhet,Bheri,Hill,Mid-Western,2070/71,2013/14,ANC Checkup,4583
Surkhet,Bheri,Hill,Mid-Western,2070/71,2013/14,PNC Serice (Persons),708
Surkhet,Bheri,Hill,Mid-Western,2070/71,2013/14,Growth Monitoring <5 yrs,17201
Dailekh,Bheri,Hill,Mid-Western,2070/71,2013/14,PHC-ORC Conduction (Times),2017
Dailekh,Bheri,Hill,Mid-Western,2070/71,2013/14,Primary Treatment (Persons),7471
Dailekh,Bheri,Hill,Mid-Western,2070/71,2013/14,Depo Service Provide (Persons),1812
Dailekh,Bheri,Hill,Mid-Western,2070/71,2013/14,ANC Checkup,2076
Dailekh,Bheri,Hill,Mid-Western,2070/71,2013/14,PNC Serice (Persons),378
Dailekh,Bheri,Hill,Mid-Western,2070/71,2013/14,Growth Monitoring <5 yrs,24128
Jajarkot,Bheri,Hill,Mid-Western,2070/71,2013/14,PHC-ORC Conduction (Times),800
Jajarkot,Bheri,Hill,Mid-Western,2070/71,2013/14,Primary Treatment (Persons),5902
Jajarkot,Bheri,Hill,Mid-Western,2070/71,2013/14,Depo Service Provide (Persons),3156
Jajarkot,Bheri,Hill,Mid-Western,2070/71,2013/14,ANC Checkup,1900
Jajarkot,Bheri,Hill,Mid-Western,2070/71,2013/14,PNC Serice (Persons),740
Jajarkot,Bheri,Hill,Mid-Western,2070/71,2013/14,Growth Monitoring <5 yrs,10537
Dolpa,Karnali,Mountain,Mid-Western,2070/71,2013/14,PHC-ORC Conduction (Times),205
Dolpa,Karnali,Mountain,Mid-Western,2070/71,2013/14,Primary Treatment (Persons),1949
Dolpa,Karnali,Mountain,Mid-Western,2070/71,2013/14,Depo Service Provide (Persons),502
Dolpa,Karnali,Mountain,Mid-Western,2070/71,2013/14,ANC Checkup,367
Dolpa,Karnali,Mountain,Mid-Western,2070/71,2013/14,PNC Serice (Persons),229
Dolpa,Karnali,Mountain,Mid-Western,2070/71,2013/14,Growth Monitoring <5 yrs,2363
Jumla,Karnali,Mountain,Mid-Western,2070/71,2013/14,PHC-ORC Conduction (Times),897
Jumla,Karnali,Mountain,Mid-Western,2070/71,2013/14,Primary Treatment (Persons),5182
Jumla,Karnali,Mountain,Mid-Western,2070/71,2013/14,Depo Service Provide (Persons),972
Jumla,Karnali,Mountain,Mid-Western,2070/71,2013/14,ANC Checkup,1549
Jumla,Karnali,Mountain,Mid-Western,2070/71,2013/14,PNC Serice (Persons),707
Jumla,Karnali,Mountain,Mid-Western,2070/71,2013/14,Growth Monitoring <5 yrs,24069
Kalikot,Karnali,Mountain,Mid-Western,2070/71,2013/14,PHC-ORC Conduction (Times),780
Kalikot,Karnali,Mountain,Mid-Western,2070/71,2013/14,Primary Treatment (Persons),5776
Kalikot,Karnali,Mountain,Mid-Western,2070/71,2013/14,Depo Service Provide (Persons),852
Kalikot,Karnali,Mountain,Mid-Western,2070/71,2013/14,ANC Checkup,746
Kalikot,Karnali,Mountain,Mid-Western,2070/71,2013/14,PNC Serice (Persons),214
Kalikot,Karnali,Mountain,Mid-Western,2070/71,2013/14,Growth Monitoring <5 yrs,4158
Mugu,Karnali,Mountain,Mid-Western,2070/71,2013/14,PHC-ORC Conduction (Times),420
Mugu,Karnali,Mountain,Mid-Western,2070/71,2013/14,Primary Treatment (Persons),3405
Mugu,Karnali,Mountain,Mid-Western,2070/71,2013/14,Depo Service Provide (Persons),394
Mugu,Karnali,Mountain,Mid-Western,2070/71,2013/14,ANC Checkup,449
Mugu,Karnali,Mountain,Mid-Western,2070/71,2013/14,PNC Serice (Persons),262
Mugu,Karnali,Mountain,Mid-Western,2070/71,2013/14,Growth Monitoring <5 yrs,2559
Humla,Karnali,Mountain,Mid-Western,2070/71,2013/14,PHC-ORC Conduction (Times),565
Humla,Karnali,Mountain,Mid-Western,2070/71,2013/14,Primary Treatment (Persons),6432
Humla,Karnali,Mountain,Mid-Western,2070/71,2013/14,Depo Service Provide (Persons),716
Humla,Karnali,Mountain,Mid-Western,2070/71,2013/14,ANC Checkup,779
Humla,Karnali,Mountain,Mid-Western,2070/71,2013/14,PNC Serice (Persons),259
Humla,Karnali,Mountain,Mid-Western,2070/71,2013/14,Growth Monitoring <5 yrs,3520
Bajura,Seti,Mountain,Far-Western,2070/71,2013/14,PHC-ORC Conduction (Times),562
Bajura,Seti,Mountain,Far-Western,2070/71,2013/14,Primary Treatment (Persons),7403
Bajura,Seti,Mountain,Far-Western,2070/71,2013/14,Depo Service Provide (Persons),789
Bajura,Seti,Mountain,Far-Western,2070/71,2013/14,ANC Checkup,1205
Bajura,Seti,Mountain,Far-Western,2070/71,2013/14,PNC Serice (Persons),396
Bajura,Seti,Mountain,Far-Western,2070/71,2013/14,Growth Monitoring <5 yrs,9833
Bajhang,Seti,Mountain,Far-Western,2070/71,2013/14,PHC-ORC Conduction (Times),1075
Bajhang,Seti,Mountain,Far-Western,2070/71,2013/14,Primary Treatment (Persons),14598
Bajhang,Seti,Mountain,Far-Western,2070/71,2013/14,Depo Service Provide (Persons),782
Bajhang,Seti,Mountain,Far-Western,2070/71,2013/14,ANC Checkup,1502
Bajhang,Seti,Mountain,Far-Western,2070/71,2013/14,PNC Serice (Persons),598
Bajhang,Seti,Mountain,Far-Western,2070/71,2013/14,Growth Monitoring <5 yrs,9546
Achham,Seti,Hill,Far-Western,2070/71,2013/14,PHC-ORC Conduction (Times),3007
Achham,Seti,Hill,Far-Western,2070/71,2013/14,Primary Treatment (Persons),30130
Achham,Seti,Hill,Far-Western,2070/71,2013/14,Depo Service Provide (Persons),1823
Achham,Seti,Hill,Far-Western,2070/71,2013/14,ANC Checkup,3663
Achham,Seti,Hill,Far-Western,2070/71,2013/14,PNC Serice (Persons),1657
Achham,Seti,Hill,Far-Western,2070/71,2013/14,Growth Monitoring <5 yrs,48830
Doti,Seti,Hill,Far-Western,2070/71,2013/14,PHC-ORC Conduction (Times),2087
Doti,Seti,Hill,Far-Western,2070/71,2013/14,Primary Treatment (Persons),18412
Doti,Seti,Hill,Far-Western,2070/71,2013/14,Depo Service Provide (Persons),2422
Doti,Seti,Hill,Far-Western,2070/71,2013/14,ANC Checkup,1752
Doti,Seti,Hill,Far-Western,2070/71,2013/14,PNC Serice (Persons),597
Doti,Seti,Hill,Far-Western,2070/71,2013/14,Growth Monitoring <5 yrs,32670
Kailali,Seti,Terai,Far-Western,2070/71,2013/14,PHC-ORC Conduction (Times),2149
Kailali,Seti,Terai,Far-Western,2070/71,2013/14,Primary Treatment (Persons),13682
Kailali,Seti,Terai,Far-Western,2070/71,2013/14,Depo Service Provide (Persons),7396
Kailali,Seti,Terai,Far-Western,2070/71,2013/14,ANC Checkup,7789
Kailali,Seti,Terai,Far-Western,2070/71,2013/14,PNC Serice (Persons),1819
Kailali,Seti,Terai,Far-Western,2070/71,2013/14,Growth Monitoring <5 yrs,47399
Kanchanpur,Mahakali,Terai,Far-Western,2070/71,2013/14,PHC-ORC Conduction (Times),904
Kanchanpur,Mahakali,Terai,Far-Western,2070/71,2013/14,Primary Treatment (Persons),9934
Kanchanpur,Mahakali,Terai,Far-Western,2070/71,2013/14,Depo Service Provide (Persons),2004
Kanchanpur,Mahakali,Terai,Far-Western,2070/71,2013/14,ANC Checkup,1978
Kanchanpur,Mahakali,Terai,Far-Western,2070/71,2013/14,PNC Serice (Persons),137
Kanchanpur,Mahakali,Terai,Far-Western,2070/71,2013/14,Growth Monitoring <5 yrs,14639
Dadeldhura,Mahakali,Hill,Far-Western,2070/71,2013/14,PHC-ORC Conduction (Times),768
Dadeldhura,Mahakali,Hill,Far-Western,2070/71,2013/14,Primary Treatment (Persons),10657
Dadeldhura,Mahakali,Hill,Far-Western,2070/71,2013/14,Depo Service Provide (Persons),811
Dadeldhura,Mahakali,Hill,Far-Western,2070/71,2013/14,ANC Checkup,956
Dadeldhura,Mahakali,Hill,Far-Western,2070/71,2013/14,PNC Serice (Persons),159
Dadeldhura,Mahakali,Hill,Far-Western,2070/71,2013/14,Growth Monitoring <5 yrs,7221
Baitadi,Mahakali,Hill,Far-Western,2070/71,2013/14,PHC-ORC Conduction (Times),3828
Baitadi,Mahakali,Hill,Far-Western,2070/71,2013/14,Primary Treatment (Persons),24908
Baitadi,Mahakali,Hill,Far-Western,2070/71,2013/14,Depo Service Provide (Persons),2185
Baitadi,Mahakali,Hill,Far-Western,2070/71,2013/14,ANC Checkup,3969
Baitadi,Mahakali,Hill,Far-Western,2070/71,2013/14,PNC Serice (Persons),732
Baitadi,Mahakali,Hill,Far-Western,2070/71,2013/14,Growth Monitoring <5 yrs,43693
Darchula,Mahakali,Mountain,Far-Western,2070/71,2013/14,PHC-ORC Conduction (Times),1442
Darchula,Mahakali,Mountain,Far-Western,2070/71,2013/14,Primary Treatment (Persons),11565
Darchula,Mahakali,Mountain,Far-Western,2070/71,2013/14,Depo Service Provide (Persons),994
Darchula,Mahakali,Mountain,Far-Western,2070/71,2013/14,ANC Checkup,1984
Darchula,Mahakali,Mountain,Far-Western,2070/71,2013/14,PNC Serice (Persons),888
Darchula,Mahakali,Mountain,Far-Western,2070/71,2013/14,Growth Monitoring <5 yrs,21575
