District,Year,Visit,Age group,Number of women
Saptari,2068/69,First Visit,< 20 Year,1810
Saptari,2068/69,First Visit,> or equal 20 Years,14185
Saptari,2068/69,Fourth Visit,Four Time Visits,11826
Siraha,2068/69,First Visit,< 20 Year,2580
Siraha,2068/69,First Visit,> or equal 20 Years,13738
Siraha,2068/69,Fourth Visit,Four Time Visits,10500
Dhanusha,2068/69,First Visit,< 20 Year,3865
Dhanusha,2068/69,First Visit,> or equal 20 Years,12590
Dhanusha,2068/69,Fourth Visit,Four Time Visits,8242
Mahottari,2068/69,First Visit,< 20 Year,3027
Mahottari,2068/69,First Visit,> or equal 20 Years,13065
Mahottari,2068/69,Fourth Visit,Four Time Visits,13642
Sarlahi,2068/69,First Visit,< 20 Year,5618
Sarlahi,2068/69,First Visit,> or equal 20 Years,18065
Sarlahi,2068/69,Fourth Visit,Four Time Visits,8508
Sindhuli,2068/69,First Visit,< 20 Year,1077
Sindhuli,2068/69,First Visit,> or equal 20 Years,3378
Sindhuli,2068/69,Fourth Visit,Four Time Visits,1940
Ramechhap,2068/69,First Visit,< 20 Year,801
Ramechhap,2068/69,First Visit,> or equal 20 Years,2859
Ramechhap,2068/69,Fourth Visit,Four Time Visits,2451
Dolkha,2068/69,First Visit,< 20 Year,810
Dolkha,2068/69,First Visit,> or equal 20 Years,3771
Dolkha,2068/69,Fourth Visit,Four Time Visits,2555
Sindhupalchowk,2068/69,First Visit,< 20 Year,945
Sindhupalchowk,2068/69,First Visit,> or equal 20 Years,3654
Sindhupalchowk,2068/69,Fourth Visit,Four Time Visits,2157
Kavre,2068/69,First Visit,< 20 Year,2079
Kavre,2068/69,First Visit,> or equal 20 Years,7454
Kavre,2068/69,Fourth Visit,Four Time Visits,5586
Lalitpur,2068/69,First Visit,< 20 Year,0
Lalitpur,2068/69,First Visit,> or equal 20 Years,13683
Lalitpur,2068/69,Fourth Visit,Four Time Visits,10614
Bhaktapur,2068/69,First Visit,< 20 Year,518
Bhaktapur,2068/69,First Visit,> or equal 20 Years,2578
Bhaktapur,2068/69,Fourth Visit,Four Time Visits,1375
Kathmandu,2068/69,First Visit,< 20 Year,4460
Kathmandu,2068/69,First Visit,> or equal 20 Years,33897
Kathmandu,2068/69,Fourth Visit,Four Time Visits,24141
Nuwakot,2068/69,First Visit,< 20 Year,1147
Nuwakot,2068/69,First Visit,> or equal 20 Years,3570
Nuwakot,2068/69,Fourth Visit,Four Time Visits,2055
Rasuwa,2068/69,First Visit,< 20 Year,195
Rasuwa,2068/69,First Visit,> or equal 20 Years,778
Rasuwa,2068/69,Fourth Visit,Four Time Visits,526
Dhading,2068/69,First Visit,< 20 Year,2108
Dhading,2068/69,First Visit,> or equal 20 Years,5740
Dhading,2068/69,Fourth Visit,Four Time Visits,5083
Makawanpur,2068/69,First Visit,< 20 Year,1945
Makawanpur,2068/69,First Visit,> or equal 20 Years,5850
Makawanpur,2068/69,Fourth Visit,Four Time Visits,3827
Rautahat,2068/69,First Visit,< 20 Year,3894
Rautahat,2068/69,First Visit,> or equal 20 Years,14988
Rautahat,2068/69,Fourth Visit,Four Time Visits,11035
Bara,2068/69,First Visit,< 20 Year,3255
Bara,2068/69,First Visit,> or equal 20 Years,12940
Bara,2068/69,Fourth Visit,Four Time Visits,8950
Parsa,2068/69,First Visit,< 20 Year,0
Parsa,2068/69,First Visit,> or equal 20 Years,11896
Parsa,2068/69,Fourth Visit,Four Time Visits,7195
Chitwan,2068/69,First Visit,< 20 Year,4134
Chitwan,2068/69,First Visit,> or equal 20 Years,12361
Chitwan,2068/69,Fourth Visit,Four Time Visits,7610
Gorkha,2068/69,First Visit,< 20 Year,1320
Gorkha,2068/69,First Visit,> or equal 20 Years,4363
Gorkha,2068/69,Fourth Visit,Four Time Visits,2697
Lamjung,2068/69,First Visit,< 20 Year,1189
Lamjung,2068/69,First Visit,> or equal 20 Years,3939
Lamjung,2068/69,Fourth Visit,Four Time Visits,3421
Tanahu,2068/69,First Visit,< 20 Year,1942
Tanahu,2068/69,First Visit,> or equal 20 Years,4444
Tanahu,2068/69,Fourth Visit,Four Time Visits,3473
Syangja,2068/69,First Visit,< 20 Year,1177
Syangja,2068/69,First Visit,> or equal 20 Years,4410
Syangja,2068/69,Fourth Visit,Four Time Visits,4159
Kaski,2068/69,First Visit,< 20 Year,3262
Kaski,2068/69,First Visit,> or equal 20 Years,11242
Kaski,2068/69,Fourth Visit,Four Time Visits,10091
Manang,2068/69,First Visit,< 20 Year,17
Manang,2068/69,First Visit,> or equal 20 Years,74
Manang,2068/69,Fourth Visit,Four Time Visits,40
Mustang,2068/69,First Visit,< 20 Year,27
Mustang,2068/69,First Visit,> or equal 20 Years,190
Mustang,2068/69,Fourth Visit,Four Time Visits,82
Myagdi,2068/69,First Visit,< 20 Year,658
Myagdi,2068/69,First Visit,> or equal 20 Years,1800
Myagdi,2068/69,Fourth Visit,Four Time Visits,1874
Parbat,2068/69,First Visit,< 20 Year,655
Parbat,2068/69,First Visit,> or equal 20 Years,2086
Parbat,2068/69,Fourth Visit,Four Time Visits,2334
Baglung,2068/69,First Visit,< 20 Year,1343
Baglung,2068/69,First Visit,> or equal 20 Years,5108
Baglung,2068/69,Fourth Visit,Four Time Visits,4389
Gulmi,2068/69,First Visit,< 20 Year,1339
Gulmi,2068/69,First Visit,> or equal 20 Years,5689
Gulmi,2068/69,Fourth Visit,Four Time Visits,5291
Palpa,2068/69,First Visit,< 20 Year,2084
Palpa,2068/69,First Visit,> or equal 20 Years,7573
Palpa,2068/69,Fourth Visit,Four Time Visits,3575
Nawalparasi,2068/69,First Visit,< 20 Year,2826
Nawalparasi,2068/69,First Visit,> or equal 20 Years,11508
Nawalparasi,2068/69,Fourth Visit,Four Time Visits,8927
Rupandehi,2068/69,First Visit,< 20 Year,0
Rupandehi,2068/69,First Visit,> or equal 20 Years,29249
Rupandehi,2068/69,Fourth Visit,Four Time Visits,18913
Kapilvastu,2068/69,First Visit,< 20 Year,1480
Kapilvastu,2068/69,First Visit,> or equal 20 Years,13556
Kapilvastu,2068/69,Fourth Visit,Four Time Visits,9123
Arghakhanchi,2068/69,First Visit,< 20 Year,859
Arghakhanchi,2068/69,First Visit,> or equal 20 Years,2659
Arghakhanchi,2068/69,Fourth Visit,Four Time Visits,1964
Pyuthan,2068/69,First Visit,< 20 Year,1443
Pyuthan,2068/69,First Visit,> or equal 20 Years,4114
Pyuthan,2068/69,Fourth Visit,Four Time Visits,2821
Rolpa,2068/69,First Visit,< 20 Year,1096
Rolpa,2068/69,First Visit,> or equal 20 Years,2879
Rolpa,2068/69,Fourth Visit,Four Time Visits,2556
Rukum,2068/69,First Visit,< 20 Year,2158
Rukum,2068/69,First Visit,> or equal 20 Years,3682
Rukum,2068/69,Fourth Visit,Four Time Visits,2358
Salyan,2068/69,First Visit,< 20 Year,1786
Salyan,2068/69,First Visit,> or equal 20 Years,3672
Salyan,2068/69,Fourth Visit,Four Time Visits,2513
Dang,2068/69,First Visit,< 20 Year,4300
Dang,2068/69,First Visit,> or equal 20 Years,8549
Dang,2068/69,Fourth Visit,Four Time Visits,7126
Banke,2068/69,First Visit,< 20 Year,2752
Banke,2068/69,First Visit,> or equal 20 Years,9652
Banke,2068/69,Fourth Visit,Four Time Visits,5926
Bardiya,2068/69,First Visit,< 20 Year,2582
Bardiya,2068/69,First Visit,> or equal 20 Years,6562
Bardiya,2068/69,Fourth Visit,Four Time Visits,6084
Surkhet,2068/69,First Visit,< 20 Year,3297
Surkhet,2068/69,First Visit,> or equal 20 Years,6663
Surkhet,2068/69,Fourth Visit,Four Time Visits,6782
Dailekh,2068/69,First Visit,< 20 Year,1903
Dailekh,2068/69,First Visit,> or equal 20 Years,5235
Dailekh,2068/69,Fourth Visit,Four Time Visits,4167
Jajarkot,2068/69,First Visit,< 20 Year,1401
Jajarkot,2068/69,First Visit,> or equal 20 Years,3076
Jajarkot,2068/69,Fourth Visit,Four Time Visits,1889
Dolpa,2068/69,First Visit,< 20 Year,149
Dolpa,2068/69,First Visit,> or equal 20 Years,559
Dolpa,2068/69,Fourth Visit,Four Time Visits,277
Jumla,2068/69,First Visit,< 20 Year,1104
Jumla,2068/69,First Visit,> or equal 20 Years,2503
Jumla,2068/69,Fourth Visit,Four Time Visits,1559
Kalikot,2068/69,First Visit,< 20 Year,939
Kalikot,2068/69,First Visit,> or equal 20 Years,3088
Kalikot,2068/69,Fourth Visit,Four Time Visits,1122
Mugu,2068/69,First Visit,< 20 Year,515
Mugu,2068/69,First Visit,> or equal 20 Years,1362
Mugu,2068/69,Fourth Visit,Four Time Visits,733
Humla,2068/69,First Visit,< 20 Year,289
Humla,2068/69,First Visit,> or equal 20 Years,1188
Humla,2068/69,Fourth Visit,Four Time Visits,862
Bajura,2068/69,First Visit,< 20 Year,507
Bajura,2068/69,First Visit,> or equal 20 Years,2462
Bajura,2068/69,Fourth Visit,Four Time Visits,906
Bajhang,2068/69,First Visit,< 20 Year,1158
Bajhang,2068/69,First Visit,> or equal 20 Years,4629
Bajhang,2068/69,Fourth Visit,Four Time Visits,2938
Achham,2068/69,First Visit,< 20 Year,1444
Achham,2068/69,First Visit,> or equal 20 Years,6180
Achham,2068/69,Fourth Visit,Four Time Visits,4060
Doti,2068/69,First Visit,< 20 Year,1143
Doti,2068/69,First Visit,> or equal 20 Years,5549
Doti,2068/69,Fourth Visit,Four Time Visits,3160
Kailali,2068/69,First Visit,< 20 Year,3292
Kailali,2068/69,First Visit,> or equal 20 Years,10545
Kailali,2068/69,Fourth Visit,Four Time Visits,9254
Kanchanpur,2068/69,First Visit,< 20 Year,1884
Kanchanpur,2068/69,First Visit,> or equal 20 Years,7248
Kanchanpur,2068/69,Fourth Visit,Four Time Visits,6029
Dadeldhura,2068/69,First Visit,< 20 Year,1525
Dadeldhura,2068/69,First Visit,> or equal 20 Years,4630
Dadeldhura,2068/69,Fourth Visit,Four Time Visits,2274
Baitadi,2068/69,First Visit,< 20 Year,1033
Baitadi,2068/69,First Visit,> or equal 20 Years,5614
Baitadi,2068/69,Fourth Visit,Four Time Visits,3154
Darchula,2068/69,First Visit,< 20 Year,569
Darchula,2068/69,First Visit,> or equal 20 Years,2716
Darchula,2068/69,Fourth Visit,Four Time Visits,2141
Taplejung,2069/70,First Visit,< 20 Year,745
Taplejung,2069/70,First Visit,> or equal 20 Years,2189
Taplejung,2069/70,Four  Visits,Four Time Visits,1763
Panchthar,2069/70,First Visit,< 20 Year,955
Panchthar,2069/70,First Visit,> or equal 20 Years,3315
Panchthar,2069/70,Four  Visits,Four Time Visits,2042
Ilam,2069/70,First Visit,< 20 Year,1155
Ilam,2069/70,First Visit,> or equal 20 Years,3913
Ilam,2069/70,Four  Visits,Four Time Visits,3527
Jhapa,2069/70,First Visit,< 20 Year,7015
Jhapa,2069/70,First Visit,> or equal 20 Years,19984
Jhapa,2069/70,Four  Visits,Four Time Visits,12997
Morang,2069/70,First Visit,< 20 Year,7319
Morang,2069/70,First Visit,> or equal 20 Years,21573
Morang,2069/70,Four  Visits,Four Time Visits,12982
Sunsari,2069/70,First Visit,< 20 Year,3408
Sunsari,2069/70,First Visit,> or equal 20 Years,16785
Sunsari,2069/70,Four  Visits,Four Time Visits,8817
Dhankuta,2069/70,First Visit,< 20 Year,694
Dhankuta,2069/70,First Visit,> or equal 20 Years,2680
Dhankuta,2069/70,Four  Visits,Four Time Visits,2262
Teharthum,2069/70,First Visit,< 20 Year,530
Teharthum,2069/70,First Visit,> or equal 20 Years,1547
Teharthum,2069/70,Four  Visits,Four Time Visits,1091
Sankhuwasabha,2069/70,First Visit,< 20 Year,941
Sankhuwasabha,2069/70,First Visit,> or equal 20 Years,2294
Sankhuwasabha,2069/70,Four  Visits,Four Time Visits,1589
Bhojpur,2069/70,First Visit,< 20 Year,774
Bhojpur,2069/70,First Visit,> or equal 20 Years,2256
Bhojpur,2069/70,Four  Visits,Four Time Visits,1379
Solukhumbu,2069/70,First Visit,< 20 Year,590
Solukhumbu,2069/70,First Visit,> or equal 20 Years,1809
Solukhumbu,2069/70,Four  Visits,Four Time Visits,1453
Okhaldhunga,2069/70,First Visit,< 20 Year,686
Okhaldhunga,2069/70,First Visit,> or equal 20 Years,1832
Okhaldhunga,2069/70,Four  Visits,Four Time Visits,1660
Khotang,2069/70,First Visit,< 20 Year,1152
Khotang,2069/70,First Visit,> or equal 20 Years,3550
Khotang,2069/70,Four  Visits,Four Time Visits,2809
Udaypur,2069/70,First Visit,< 20 Year,1461
Udaypur,2069/70,First Visit,> or equal 20 Years,4844
Udaypur,2069/70,Four  Visits,Four Time Visits,3598
Saptari,2069/70,First Visit,< 20 Year,1891
Saptari,2069/70,First Visit,> or equal 20 Years,14811
Saptari,2069/70,Four  Visits,Four Time Visits,11463
Siraha,2069/70,First Visit,< 20 Year,3098
Siraha,2069/70,First Visit,> or equal 20 Years,13949
Siraha,2069/70,Four  Visits,Four Time Visits,9690
Dhanusha,2069/70,First Visit,< 20 Year,3766
Dhanusha,2069/70,First Visit,> or equal 20 Years,10713
Dhanusha,2069/70,Four  Visits,Four Time Visits,6897
Mahottari,2069/70,First Visit,< 20 Year,3259
Mahottari,2069/70,First Visit,> or equal 20 Years,15051
Mahottari,2069/70,Four  Visits,Four Time Visits,12173
Sarlahi,2069/70,First Visit,< 20 Year,4763
Sarlahi,2069/70,First Visit,> or equal 20 Years,14165
Sarlahi,2069/70,Four  Visits,Four Time Visits,8886
Sindhuli,2069/70,First Visit,< 20 Year,1090
Sindhuli,2069/70,First Visit,> or equal 20 Years,2969
Sindhuli,2069/70,Four  Visits,Four Time Visits,1922
Ramechhap,2069/70,First Visit,< 20 Year,754
Ramechhap,2069/70,First Visit,> or equal 20 Years,2410
Ramechhap,2069/70,Four  Visits,Four Time Visits,2280
Dolkha,2069/70,First Visit,< 20 Year,920
Dolkha,2069/70,First Visit,> or equal 20 Years,2821
Dolkha,2069/70,Four  Visits,Four Time Visits,2313
Sindhupalchowk,2069/70,First Visit,< 20 Year,1076
Sindhupalchowk,2069/70,First Visit,> or equal 20 Years,3341
Sindhupalchowk,2069/70,Four  Visits,Four Time Visits,2200
Kavre,2069/70,First Visit,< 20 Year,1810
Kavre,2069/70,First Visit,> or equal 20 Years,7230
Kavre,2069/70,Four  Visits,Four Time Visits,5192
Lalitpur,2069/70,First Visit,< 20 Year,0
Lalitpur,2069/70,First Visit,> or equal 20 Years,13993
Lalitpur,2069/70,Four  Visits,Four Time Visits,10817
Bhaktapur,2069/70,First Visit,< 20 Year,427
Bhaktapur,2069/70,First Visit,> or equal 20 Years,2888
Bhaktapur,2069/70,Four  Visits,Four Time Visits,1687
Kathmandu,2069/70,First Visit,< 20 Year,8268
Kathmandu,2069/70,First Visit,> or equal 20 Years,38011
Kathmandu,2069/70,Four  Visits,Four Time Visits,26767
Nuwakot,2069/70,First Visit,< 20 Year,1051
Nuwakot,2069/70,First Visit,> or equal 20 Years,3190
Nuwakot,2069/70,Four  Visits,Four Time Visits,1846
Rasuwa,2069/70,First Visit,< 20 Year,207
Rasuwa,2069/70,First Visit,> or equal 20 Years,683
Rasuwa,2069/70,Four  Visits,Four Time Visits,569
Dhading,2069/70,First Visit,< 20 Year,1900
Dhading,2069/70,First Visit,> or equal 20 Years,5054
Dhading,2069/70,Four  Visits,Four Time Visits,4878
Makawanpur,2069/70,First Visit,< 20 Year,1783
Makawanpur,2069/70,First Visit,> or equal 20 Years,5438
Makawanpur,2069/70,Four  Visits,Four Time Visits,3427
Rautahat,2069/70,First Visit,< 20 Year,6644
Rautahat,2069/70,First Visit,> or equal 20 Years,22102
Rautahat,2069/70,Four  Visits,Four Time Visits,15459
Bara,2069/70,First Visit,< 20 Year,3613
Bara,2069/70,First Visit,> or equal 20 Years,12044
Bara,2069/70,Four  Visits,Four Time Visits,8130
Parsa,2069/70,First Visit,< 20 Year,0
Parsa,2069/70,First Visit,> or equal 20 Years,12597
Parsa,2069/70,Four  Visits,Four Time Visits,7000
Chitwan,2069/70,First Visit,< 20 Year,3956
Chitwan,2069/70,First Visit,> or equal 20 Years,14938
Chitwan,2069/70,Four  Visits,Four Time Visits,8718
Gorkha,2069/70,First Visit,< 20 Year,1307
Gorkha,2069/70,First Visit,> or equal 20 Years,4374
Gorkha,2069/70,Four  Visits,Four Time Visits,2705
Lamjung,2069/70,First Visit,< 20 Year,1128
Lamjung,2069/70,First Visit,> or equal 20 Years,3677
Lamjung,2069/70,Four  Visits,Four Time Visits,3837
Tanahu,2069/70,First Visit,< 20 Year,2448
Tanahu,2069/70,First Visit,> or equal 20 Years,4174
Tanahu,2069/70,Four  Visits,Four Time Visits,3634
Syangja,2069/70,First Visit,< 20 Year,1284
Syangja,2069/70,First Visit,> or equal 20 Years,4327
Syangja,2069/70,Four  Visits,Four Time Visits,4173
Kaski,2069/70,First Visit,< 20 Year,3386
Kaski,2069/70,First Visit,> or equal 20 Years,13645
Kaski,2069/70,Four  Visits,Four Time Visits,9742
Manang,2069/70,First Visit,< 20 Year,13
Manang,2069/70,First Visit,> or equal 20 Years,49
Manang,2069/70,Four  Visits,Four Time Visits,19
Mustang,2069/70,First Visit,< 20 Year,23
Mustang,2069/70,First Visit,> or equal 20 Years,111
Mustang,2069/70,Four  Visits,Four Time Visits,76
Myagdi,2069/70,First Visit,< 20 Year,563
Myagdi,2069/70,First Visit,> or equal 20 Years,1449
Myagdi,2069/70,Four  Visits,Four Time Visits,1500
Parbat,2069/70,First Visit,< 20 Year,776
Parbat,2069/70,First Visit,> or equal 20 Years,1899
Parbat,2069/70,Four  Visits,Four Time Visits,2052
Baglung,2069/70,First Visit,< 20 Year,1431
Baglung,2069/70,First Visit,> or equal 20 Years,4570
Baglung,2069/70,Four  Visits,Four Time Visits,4221
Gulmi,2069/70,First Visit,< 20 Year,1558
Gulmi,2069/70,First Visit,> or equal 20 Years,4627
Gulmi,2069/70,Four  Visits,Four Time Visits,4699
Palpa,2069/70,First Visit,< 20 Year,2092
Palpa,2069/70,First Visit,> or equal 20 Years,6640
Palpa,2069/70,Four  Visits,Four Time Visits,3522
Nawalparasi,2069/70,First Visit,< 20 Year,2871
Nawalparasi,2069/70,First Visit,> or equal 20 Years,11319
Nawalparasi,2069/70,Four  Visits,Four Time Visits,9544
Rupandehi,2069/70,First Visit,< 20 Year,0
Rupandehi,2069/70,First Visit,> or equal 20 Years,26434
Rupandehi,2069/70,Four  Visits,Four Time Visits,16626
Kapilvastu,2069/70,First Visit,< 20 Year,1688
Kapilvastu,2069/70,First Visit,> or equal 20 Years,12183
Kapilvastu,2069/70,Four  Visits,Four Time Visits,8480
Arghakhanchi,2069/70,First Visit,< 20 Year,835
Arghakhanchi,2069/70,First Visit,> or equal 20 Years,2639
Arghakhanchi,2069/70,Four  Visits,Four Time Visits,1986
Pyuthan,2069/70,First Visit,< 20 Year,1332
Pyuthan,2069/70,First Visit,> or equal 20 Years,2828
Pyuthan,2069/70,Four  Visits,Four Time Visits,2434
Rolpa,2069/70,First Visit,< 20 Year,1101
Rolpa,2069/70,First Visit,> or equal 20 Years,2147
Rolpa,2069/70,Four  Visits,Four Time Visits,2203
Rukum,2069/70,First Visit,< 20 Year,2328
Rukum,2069/70,First Visit,> or equal 20 Years,3980
Rukum,2069/70,Four  Visits,Four Time Visits,2325
Salyan,2069/70,First Visit,< 20 Year,1937
Salyan,2069/70,First Visit,> or equal 20 Years,3241
Salyan,2069/70,Four  Visits,Four Time Visits,2406
Dang,2069/70,First Visit,< 20 Year,4171
Dang,2069/70,First Visit,> or equal 20 Years,7702
Dang,2069/70,Four  Visits,Four Time Visits,6991
Banke,2069/70,First Visit,< 20 Year,2830
Banke,2069/70,First Visit,> or equal 20 Years,9891
Banke,2069/70,Four  Visits,Four Time Visits,6584
Bardiya,2069/70,First Visit,< 20 Year,2320
Bardiya,2069/70,First Visit,> or equal 20 Years,6199
Bardiya,2069/70,Four  Visits,Four Time Visits,5809
Surkhet,2069/70,First Visit,< 20 Year,3424
Surkhet,2069/70,First Visit,> or equal 20 Years,6625
Surkhet,2069/70,Four  Visits,Four Time Visits,6101
Dailekh,2069/70,First Visit,< 20 Year,1734
Dailekh,2069/70,First Visit,> or equal 20 Years,4272
Dailekh,2069/70,Four  Visits,Four Time Visits,4016
Jajarkot,2069/70,First Visit,< 20 Year,1299
Jajarkot,2069/70,First Visit,> or equal 20 Years,2634
Jajarkot,2069/70,Four  Visits,Four Time Visits,1641
Dolpa,2069/70,First Visit,< 20 Year,353
Dolpa,2069/70,First Visit,> or equal 20 Years,444
Dolpa,2069/70,Four  Visits,Four Time Visits,292
Jumla,2069/70,First Visit,< 20 Year,1126
Jumla,2069/70,First Visit,> or equal 20 Years,1844
Jumla,2069/70,Four  Visits,Four Time Visits,1570
Kalikot,2069/70,First Visit,< 20 Year,717
Kalikot,2069/70,First Visit,> or equal 20 Years,2333
Kalikot,2069/70,Four  Visits,Four Time Visits,1067
Mugu,2069/70,First Visit,< 20 Year,504
Mugu,2069/70,First Visit,> or equal 20 Years,1145
Mugu,2069/70,Four  Visits,Four Time Visits,578
Humla,2069/70,First Visit,< 20 Year,478
Humla,2069/70,First Visit,> or equal 20 Years,1350
Humla,2069/70,Four  Visits,Four Time Visits,882
Bajura,2069/70,First Visit,< 20 Year,650
Bajura,2069/70,First Visit,> or equal 20 Years,2172
Bajura,2069/70,Four  Visits,Four Time Visits,1166
Bajhang,2069/70,First Visit,< 20 Year,1112
Bajhang,2069/70,First Visit,> or equal 20 Years,3863
Bajhang,2069/70,Four  Visits,Four Time Visits,2323
Achham,2069/70,First Visit,< 20 Year,1499
Achham,2069/70,First Visit,> or equal 20 Years,5765
Achham,2069/70,Four  Visits,Four Time Visits,3839
Doti,2069/70,First Visit,< 20 Year,1175
Doti,2069/70,First Visit,> or equal 20 Years,4454
Doti,2069/70,Four  Visits,Four Time Visits,3094
Kailali,2069/70,First Visit,< 20 Year,3656
Kailali,2069/70,First Visit,> or equal 20 Years,13247
Kailali,2069/70,Four  Visits,Four Time Visits,9246
Kanchanpur,2069/70,First Visit,< 20 Year,1877
Kanchanpur,2069/70,First Visit,> or equal 20 Years,6719
Kanchanpur,2069/70,Four  Visits,Four Time Visits,6038
Dadeldhura,2069/70,First Visit,< 20 Year,1116
Dadeldhura,2069/70,First Visit,> or equal 20 Years,5212
Dadeldhura,2069/70,Four  Visits,Four Time Visits,2859
Baitadi,2069/70,First Visit,< 20 Year,1085
Baitadi,2069/70,First Visit,> or equal 20 Years,4768
Baitadi,2069/70,Four  Visits,Four Time Visits,3763
Darchula,2069/70,First Visit,< 20 Year,611
Darchula,2069/70,First Visit,> or equal 20 Years,2610
Darchula,2069/70,Four  Visits,Four Time Visits,1870
