District,Year,Visit,Age group,Number of women
Gorkha,2066/67,First Visit,< 20 Year,1155
Gorkha,2066/67,First Visit,> or equal 20 Years,3936
Gorkha,2066/67,Fourth Visit,Four Time Visits,2328
Gulmi,2066/67,First Visit,< 20 Year,1147
Gulmi,2066/67,First Visit,> or equal 20 Years,5340
Gulmi,2066/67,Fourth Visit,Four Time Visits,4884
Kapilvastu,2066/67,First Visit,< 20 Year,967
Kapilvastu,2066/67,First Visit,> or equal 20 Years,13877
Kapilvastu,2066/67,Fourth Visit,Four Time Visits,10634
Kaski,2066/67,First Visit,< 20 Year,2584
Kaski,2066/67,First Visit,> or equal 20 Years,8792
Kaski,2066/67,Fourth Visit,Four Time Visits,8407
Lamjung,2066/67,First Visit,< 20 Year,1194
Lamjung,2066/67,First Visit,> or equal 20 Years,3488
Lamjung,2066/67,Fourth Visit,Four Time Visits,2804
Manang,2066/67,First Visit,< 20 Year,18
Manang,2066/67,First Visit,> or equal 20 Years,67
Manang,2066/67,Fourth Visit,Four Time Visits,23
Mustang,2066/67,First Visit,< 20 Year,34
Mustang,2066/67,First Visit,> or equal 20 Years,181
Mustang,2066/67,Fourth Visit,Four Time Visits,97
Myagdi,2066/67,First Visit,< 20 Year,914
Myagdi,2066/67,First Visit,> or equal 20 Years,2503
Myagdi,2066/67,Fourth Visit,Four Time Visits,2186
Nawalparasi,2066/67,First Visit,< 20 Year,2786
Nawalparasi,2066/67,First Visit,> or equal 20 Years,11749
Nawalparasi,2066/67,Fourth Visit,Four Time Visits,8401
Palpa,2066/67,First Visit,< 20 Year,2185
Palpa,2066/67,First Visit,> or equal 20 Years,7430
Palpa,2066/67,Fourth Visit,Four Time Visits,3895
Parbat,2066/67,First Visit,< 20 Year,703
Parbat,2066/67,First Visit,> or equal 20 Years,2409
Parbat,2066/67,Fourth Visit,Four Time Visits,2263
Rupandehi,2066/67,First Visit,< 20 Year,0
Rupandehi,2066/67,First Visit,> or equal 20 Years,24578
Rupandehi,2066/67,Fourth Visit,Four Time Visits,14822
Syangja,2066/67,First Visit,< 20 Year,1169
Syangja,2066/67,First Visit,> or equal 20 Years,5109
Syangja,2066/67,Fourth Visit,Four Time Visits,4222
Tanahu,2066/67,First Visit,< 20 Year,1917
Tanahu,2066/67,First Visit,> or equal 20 Years,4526
Tanahu,2066/67,Fourth Visit,Four Time Visits,3329
Banke,2066/67,First Visit,< 20 Year,2399
Banke,2066/67,First Visit,> or equal 20 Years,10698
Banke,2066/67,Fourth Visit,Four Time Visits,5724
Bardiya,2066/67,First Visit,< 20 Year,3090
Bardiya,2066/67,First Visit,> or equal 20 Years,7769
Bardiya,2066/67,Fourth Visit,Four Time Visits,6795
Dailekh,2066/67,First Visit,< 20 Year,1551
Dailekh,2066/67,First Visit,> or equal 20 Years,5781
Dailekh,2066/67,Fourth Visit,Four Time Visits,4315
Dang,2066/67,First Visit,< 20 Year,4098
Dang,2066/67,First Visit,> or equal 20 Years,8639
Dang,2066/67,Fourth Visit,Four Time Visits,6108
Dolpa,2066/67,First Visit,< 20 Year,178
Dolpa,2066/67,First Visit,> or equal 20 Years,655
Dolpa,2066/67,Fourth Visit,Four Time Visits,334
