District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Sub-Indicator,Value
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,PF Imported,Total,Female,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,PF Imported,Total,Male,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,PM Indigenous,Under 5 Years,Female,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,PM Indigenous,Under 5 Years,Male,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,PM Indigenous,5 Years & Above,Female,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,PM Indigenous,5 Years & Above,Male,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,PM Indigenous,Total,Female,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,PM Indigenous,Total,Male,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,PM Imported,Under 5 Years,Female,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,PM Imported,Under 5 Years,Male,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,PM Imported,5 Years & Above,Female,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,PM Imported,5 Years & Above,Male,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,PM Imported,Total,Female,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,PM Imported,Total,Male,0
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PF Indigenous,Under 5 Years,Female,0
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PF Indigenous,Under 5 Years,Male,0
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PF Indigenous,5 Years & Above,Female,0
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PF Indigenous,5 Years & Above,Male,4
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PF Indigenous,Total,Female,0
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PF Indigenous,Total,Male,4
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PF Imported,Under 5 Years,Female,0
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PF Imported,Under 5 Years,Male,0
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PF Imported,5 Years & Above,Female,0
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PF Imported,5 Years & Above,Male,4
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PF Imported,5 to 14 Years,Female,0
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PF Imported,5 to 14 Years,Male,4
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PF Imported,Total,Female,0
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PF Imported,Total,Male,4
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PM Indigenous,Under 5 Years,Female,0
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PM Indigenous,Under 5 Years,Male,1
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PM Indigenous,5 Years & Above,Female,0
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PM Indigenous,5 Years & Above,Male,1
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PM Indigenous,Total,Female,1
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PM Indigenous,Total,Male,1
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PM Imported,Under 5 Years,Female,0
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PM Imported,Under 5 Years,Male,2
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PM Imported,5 Years & Above,Female,0
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PM Imported,5 Years & Above,Male,2
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PM Imported,Total,Female,0
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,PM Imported,Total,Male,4
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PF Indigenous,Under 5 Years,Female,0
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PF Indigenous,Under 5 Years,Male,0
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PF Indigenous,5 Years & Above,Female,0
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PF Indigenous,5 Years & Above,Male,1
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PF Indigenous,Total,Female,0
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PF Indigenous,Total,Male,1
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PF Imported,Under 5 Years,Female,0
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PF Imported,Under 5 Years,Male,0
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PF Imported,5 Years & Above,Female,1
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PF Imported,5 Years & Above,Male,3
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PF Imported,5 to 14 Years,Female,1
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PF Imported,5 to 14 Years,Male,3
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PF Imported,Total,Female,1
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PF Imported,Total,Male,3
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PM Indigenous,Under 5 Years,Female,0
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PM Indigenous,Under 5 Years,Male,0
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PM Indigenous,5 Years & Above,Female,0
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PM Indigenous,5 Years & Above,Male,0
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PM Indigenous,Total,Female,0
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PM Indigenous,Total,Male,0
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PM Imported,Under 5 Years,Female,0
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PM Imported,Under 5 Years,Male,0
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PM Imported,5 Years & Above,Female,0
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PM Imported,5 Years & Above,Male,0
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PM Imported,Total,Female,0
Morang,Kosi,Terai,Eastern,2070/71,2013/14,PM Imported,Total,Male,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PF Indigenous,Under 5 Years,Female,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PF Indigenous,Under 5 Years,Male,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PF Indigenous,5 Years & Above,Female,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PF Indigenous,5 Years & Above,Male,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PF Indigenous,Total,Female,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PF Indigenous,Total,Male,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PF Imported,Under 5 Years,Female,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PF Imported,Under 5 Years,Male,1
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PF Imported,5 Years & Above,Female,1
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PF Imported,5 Years & Above,Male,4
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PF Imported,5 to 14 Years,Female,1
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PF Imported,5 to 14 Years,Male,4
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PF Imported,Total,Female,1
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PF Imported,Total,Male,4
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PM Indigenous,Under 5 Years,Female,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PM Indigenous,Under 5 Years,Male,1
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PM Indigenous,5 Years & Above,Female,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PM Indigenous,5 Years & Above,Male,1
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PM Indigenous,Total,Female,1
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PM Indigenous,Total,Male,1
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PM Imported,Under 5 Years,Female,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PM Imported,Under 5 Years,Male,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PM Imported,5 Years & Above,Female,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PM Imported,5 Years & Above,Male,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PM Imported,Total,Female,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,PM Imported,Total,Male,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PF Indigenous,Under 5 Years,Female,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PF Indigenous,Under 5 Years,Male,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PF Indigenous,5 Years & Above,Female,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PF Indigenous,5 Years & Above,Male,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PF Indigenous,Total,Female,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PF Indigenous,Total,Male,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,Under 5 Years,Female,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,Under 5 Years,Male,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,5 Years & Above,Female,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,5 Years & Above,Male,2
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,5 to 14 Years,Female,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,5 to 14 Years,Male,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,Total,Female,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,Total,Male,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PM Indigenous,Under 5 Years,Female,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PM Indigenous,Under 5 Years,Male,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PM Indigenous,5 Years & Above,Female,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PM Indigenous,5 Years & Above,Male,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PM Indigenous,Total,Female,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PM Indigenous,Total,Male,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PM Imported,Under 5 Years,Female,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PM Imported,Under 5 Years,Male,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PM Imported,5 Years & Above,Female,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PM Imported,5 Years & Above,Male,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PM Imported,Total,Female,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,PM Imported,Total,Male,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PF Indigenous,Under 5 Years,Female,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PF Indigenous,Under 5 Years,Male,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PF Indigenous,5 Years & Above,Female,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PF Indigenous,5 Years & Above,Male,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PF Indigenous,Total,Female,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PF Indigenous,Total,Male,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,Under 5 Years,Female,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,Under 5 Years,Male,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,5 Years & Above,Female,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,5 Years & Above,Male,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,5 to 14 Years,Female,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,5 to 14 Years,Male,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,Total,Female,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,Total,Male,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PM Indigenous,Under 5 Years,Female,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PM Indigenous,Under 5 Years,Male,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PM Indigenous,5 Years & Above,Female,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PM Indigenous,5 Years & Above,Male,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PM Indigenous,Total,Female,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PM Indigenous,Total,Male,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PM Imported,Under 5 Years,Female,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PM Imported,Under 5 Years,Male,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PM Imported,5 Years & Above,Female,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PM Imported,5 Years & Above,Male,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PM Imported,Total,Female,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,PM Imported,Total,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PF Indigenous,Under 5 Years,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PF Indigenous,Under 5 Years,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PF Indigenous,5 Years & Above,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PF Indigenous,5 Years & Above,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PF Indigenous,Total,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PF Indigenous,Total,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PF Imported,Under 5 Years,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PF Imported,Under 5 Years,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PF Imported,5 Years & Above,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PF Imported,5 Years & Above,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PF Imported,5 to 14 Years,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PF Imported,5 to 14 Years,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PF Imported,Total,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PF Imported,Total,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PM Indigenous,Under 5 Years,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PM Indigenous,Under 5 Years,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PM Indigenous,5 Years & Above,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PM Indigenous,5 Years & Above,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PM Indigenous,Total,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PM Indigenous,Total,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PM Imported,Under 5 Years,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PM Imported,Under 5 Years,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PM Imported,5 Years & Above,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PM Imported,5 Years & Above,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PM Imported,Total,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,PM Imported,Total,Male,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PF Indigenous,Under 5 Years,Female,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PF Indigenous,Under 5 Years,Male,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PF Indigenous,5 Years & Above,Female,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PF Indigenous,5 Years & Above,Male,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PF Indigenous,Total,Female,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PF Indigenous,Total,Male,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,Under 5 Years,Female,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,Under 5 Years,Male,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,5 Years & Above,Female,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,5 Years & Above,Male,3
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,5 to 14 Years,Female,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,5 to 14 Years,Male,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,Total,Female,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PF Imported,Total,Male,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PM Indigenous,Under 5 Years,Female,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PM Indigenous,Under 5 Years,Male,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PM Indigenous,5 Years & Above,Female,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PM Indigenous,5 Years & Above,Male,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PM Indigenous,Total,Female,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PM Indigenous,Total,Male,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PM Imported,Under 5 Years,Female,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PM Imported,Under 5 Years,Male,2
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PM Imported,5 Years & Above,Female,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PM Imported,5 Years & Above,Male,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PM Imported,Total,Female,0
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,PM Imported,Total,Male,2
Solukhumbu,Sagarmatha,Mountain,Eastern,2070/71,2013/14,PF Indigenous,Under 5 Years,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2070/71,2013/14,PF Indigenous,Under 5 Years,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2070/71,2013/14,PF Indigenous,5 Years & Above,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2070/71,2013/14,PF Indigenous,5 Years & Above,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2070/71,2013/14,PF Indigenous,Total,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2070/71,2013/14,PF Indigenous,Total,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2070/71,2013/14,PF Imported,Under 5 Years,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2070/71,2013/14,PF Imported,Under 5 Years,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2070/71,2013/14,PF Imported,5 Years & Above,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2070/71,2013/14,PF Imported,5 Years & Above,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2070/71,2013/14,PF Imported,5 to 14 Years,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2070/71,2013/14,PF Imported,5 to 14 Years,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2070/71,2013/14,PF Imported,Total,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2070/71,2013/14,PF Imported,Total,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2070/71,2013/14,PM Indigenous,Under 5 Years,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2070/71,2013/14,PM Indigenous,Under 5 Years,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2070/71,2013/14,PM Indigenous,5 Years & Above,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2070/71,2013/14,PM Indigenous,5 Years & Above,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2070/71,2013/14,PM Indigenous,Total,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2070/71,2013/14,PM Indigenous,Total,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2070/71,2013/14,PM Imported,Under 5 Years,Female,0
