District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator 1,Indicator 2,Indicator 3,Value
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PF Imported,Under 5 Years,Female,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PF Imported.1,Under 5 Years,Male,4
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PF Imported.2,5 Years & Above,Female,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PF Imported.3,5 Years & Above,Male,2
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PF Imported.4,Total,Female,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PF Imported.5,Total,Male,6
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PM Indigenous,Under 5 Years,Female,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PM Indigenous.1,Under 5 Years,Male,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PM Indigenous.2,5 Years & Above,Female,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PM Indigenous.3,5 Years & Above,Male,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PM Indigenous.4,Total,Female,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PM Indigenous.5,Total,Male,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PM Imported,Under 5 Years,Female,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PM Imported.1,Under 5 Years,Male,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PM Imported.2,5 Years & Above,Female,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PM Imported.3,5 Years & Above,Male,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PM Imported.4,Total,Female,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PM Imported.5,Total,Male,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PF Indigenous,Under 5 Years,Female,2
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PF Indigenous.1,Under 5 Years,Male,1
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PF Indigenous.2,5 Years & Above,Female,10
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PF Indigenous.3,5 Years & Above,Male,26
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PF Indigenous.4,Total,Female,12
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PF Indigenous.5,Total,Male,27
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PF Imported,Under 5 Years,Female,1
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PF Imported.1,Under 5 Years,Male,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PF Imported.2,5 Years & Above,Female,18
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PF Imported.3,5 Years & Above,Male,19
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PF Imported.4,Total,Female,19
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PF Imported.5,Total,Male,19
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PM Indigenous,Under 5 Years,Female,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PM Indigenous.1,Under 5 Years,Male,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PM Indigenous.2,5 Years & Above,Female,2
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PM Indigenous.3,5 Years & Above,Male,3
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PM Indigenous.4,Total,Female,2
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PM Indigenous.5,Total,Male,3
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PM Imported,Under 5 Years,Female,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PM Imported.1,Under 5 Years,Male,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PM Imported.2,5 Years & Above,Female,2
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PM Imported.3,5 Years & Above,Male,2
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PM Imported.4,Total,Female,2
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PM Imported.5,Total,Male,2
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PF Indigenous,Under 5 Years,Female,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PF Indigenous.1,Under 5 Years,Male,1
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PF Indigenous.2,5 Years & Above,Female,2
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PF Indigenous.3,5 Years & Above,Male,8
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PF Indigenous.4,Total,Female,2
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PF Indigenous.5,Total,Male,9
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PF Imported,Under 5 Years,Female,1
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PF Imported.1,Under 5 Years,Male,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PF Imported.2,5 Years & Above,Female,1
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PF Imported.3,5 Years & Above,Male,1
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PF Imported.4,Total,Female,2
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PF Imported.5,Total,Male,1
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PM Indigenous,Under 5 Years,Female,1
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PM Indigenous.1,Under 5 Years,Male,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PM Indigenous.2,5 Years & Above,Female,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PM Indigenous.3,5 Years & Above,Male,2
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PM Indigenous.4,Total,Female,1
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PM Indigenous.5,Total,Male,2
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PM Imported,Under 5 Years,Female,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PM Imported.1,Under 5 Years,Male,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PM Imported.2,5 Years & Above,Female,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PM Imported.3,5 Years & Above,Male,1
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PM Imported.4,Total,Female,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PM Imported.5,Total,Male,1
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PF Indigenous,Under 5 Years,Female,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PF Indigenous.1,Under 5 Years,Male,1
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PF Indigenous.2,5 Years & Above,Female,1
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PF Indigenous.3,5 Years & Above,Male,2
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PF Indigenous.4,Total,Female,1
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PF Indigenous.5,Total,Male,3
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PF Imported,Under 5 Years,Female,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PF Imported.1,Under 5 Years,Male,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PF Imported.2,5 Years & Above,Female,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PF Imported.3,5 Years & Above,Male,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PF Imported.4,Total,Female,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PF Imported.5,Total,Male,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PM Indigenous,Under 5 Years,Female,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PM Indigenous.1,Under 5 Years,Male,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PM Indigenous.2,5 Years & Above,Female,3
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PM Indigenous.3,5 Years & Above,Male,1
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PM Indigenous.4,Total,Female,3
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PM Indigenous.5,Total,Male,1
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PM Imported,Under 5 Years,Female,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PM Imported.1,Under 5 Years,Male,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PM Imported.2,5 Years & Above,Female,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PM Imported.3,5 Years & Above,Male,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PM Imported.4,Total,Female,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PM Imported.5,Total,Male,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PF Indigenous,Under 5 Years,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PF Indigenous.1,Under 5 Years,Male,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PF Indigenous.2,5 Years & Above,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PF Indigenous.3,5 Years & Above,Male,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PF Indigenous.4,Total,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PF Indigenous.5,Total,Male,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PF Imported,Under 5 Years,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PF Imported.1,Under 5 Years,Male,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PF Imported.2,5 Years & Above,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PF Imported.3,5 Years & Above,Male,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PF Imported.4,Total,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PF Imported.5,Total,Male,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PM Indigenous,Under 5 Years,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PM Indigenous.1,Under 5 Years,Male,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PM Indigenous.2,5 Years & Above,Female,0
