District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator 1,Indicator 2,Indicator 3,Value
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.1,Under 5 Years,Male,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.2,5 Years & Above,Female,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.3,5 Years & Above,Male,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.4,Total,Female,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.5,Total,Male,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,PM Imported,Under 5 Years,Female,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.1,Under 5 Years,Male,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.2,5 Years & Above,Female,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.3,5 Years & Above,Male,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.4,Total,Female,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.5,Total,Male,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous,Under 5 Years,Female,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous.1,Under 5 Years,Male,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous.2,5 Years & Above,Female,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous.3,5 Years & Above,Male,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous.4,Total,Female,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous.5,Total,Male,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PF Imported,Under 5 Years,Female,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PF Imported.1,Under 5 Years,Male,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PF Imported.2,5 Years & Above,Female,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PF Imported.3,5 Years & Above,Male,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PF Imported.4,Total,Female,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PF Imported.5,Total,Male,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous,Under 5 Years,Female,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.1,Under 5 Years,Male,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.2,5 Years & Above,Female,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.3,5 Years & Above,Male,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.4,Total,Female,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.5,Total,Male,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PM Imported,Under 5 Years,Female,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.1,Under 5 Years,Male,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.2,5 Years & Above,Female,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.3,5 Years & Above,Male,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.4,Total,Female,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.5,Total,Male,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous,Under 5 Years,Female,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous.1,Under 5 Years,Male,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous.2,5 Years & Above,Female,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous.3,5 Years & Above,Male,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous.4,Total,Female,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous.5,Total,Male,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PF Imported,Under 5 Years,Female,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PF Imported.1,Under 5 Years,Male,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PF Imported.2,5 Years & Above,Female,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PF Imported.3,5 Years & Above,Male,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PF Imported.4,Total,Female,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PF Imported.5,Total,Male,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous,Under 5 Years,Female,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.1,Under 5 Years,Male,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.2,5 Years & Above,Female,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.3,5 Years & Above,Male,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.4,Total,Female,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.5,Total,Male,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PM Imported,Under 5 Years,Female,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.1,Under 5 Years,Male,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.2,5 Years & Above,Female,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.3,5 Years & Above,Male,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.4,Total,Female,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.5,Total,Male,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous,Under 5 Years,Female,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous.1,Under 5 Years,Male,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous.2,5 Years & Above,Female,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous.3,5 Years & Above,Male,1
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous.4,Total,Female,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous.5,Total,Male,1
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PF Imported,Under 5 Years,Female,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PF Imported.1,Under 5 Years,Male,1
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PF Imported.2,5 Years & Above,Female,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PF Imported.3,5 Years & Above,Male,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PF Imported.4,Total,Female,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PF Imported.5,Total,Male,1
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous,Under 5 Years,Female,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.1,Under 5 Years,Male,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.2,5 Years & Above,Female,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.3,5 Years & Above,Male,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.4,Total,Female,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.5,Total,Male,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PM Imported,Under 5 Years,Female,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.1,Under 5 Years,Male,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.2,5 Years & Above,Female,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.3,5 Years & Above,Male,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.4,Total,Female,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.5,Total,Male,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous,Under 5 Years,Female,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous.1,Under 5 Years,Male,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous.2,5 Years & Above,Female,1
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous.3,5 Years & Above,Male,2
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous.4,Total,Female,1
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PF Indigenous.5,Total,Male,2
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PF Imported,Under 5 Years,Female,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PF Imported.1,Under 5 Years,Male,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PF Imported.2,5 Years & Above,Female,3
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PF Imported.3,5 Years & Above,Male,4
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PF Imported.4,Total,Female,3
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PF Imported.5,Total,Male,4
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous,Under 5 Years,Female,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.1,Under 5 Years,Male,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.2,5 Years & Above,Female,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.3,5 Years & Above,Male,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.4,Total,Female,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PM Indigenous.5,Total,Male,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PM Imported,Under 5 Years,Female,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.1,Under 5 Years,Male,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.2,5 Years & Above,Female,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.3,5 Years & Above,Male,2
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.4,Total,Female,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,PM Imported.5,Total,Male,2
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PF Indigenous,Under 5 Years,Female,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PF Indigenous.1,Under 5 Years,Male,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PF Indigenous.2,5 Years & Above,Female,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PF Indigenous.3,5 Years & Above,Male,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PF Indigenous.4,Total,Female,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PF Indigenous.5,Total,Male,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PF Imported,Under 5 Years,Female,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PF Imported.1,Under 5 Years,Male,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PF Imported.2,5 Years & Above,Female,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PF Imported.3,5 Years & Above,Male,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PF Imported.4,Total,Female,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PF Imported.5,Total,Male,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PM Indigenous,Under 5 Years,Female,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PM Indigenous.1,Under 5 Years,Male,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PM Indigenous.2,5 Years & Above,Female,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PM Indigenous.3,5 Years & Above,Male,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PM Indigenous.4,Total,Female,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PM Indigenous.5,Total,Male,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PM Imported,Under 5 Years,Female,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PM Imported.1,Under 5 Years,Male,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PM Imported.2,5 Years & Above,Female,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PM Imported.3,5 Years & Above,Male,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PM Imported.4,Total,Female,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,PM Imported.5,Total,Male,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PF Indigenous,Under 5 Years,Female,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PF Indigenous.1,Under 5 Years,Male,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PF Indigenous.2,5 Years & Above,Female,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PF Indigenous.3,5 Years & Above,Male,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PF Indigenous.4,Total,Female,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PF Indigenous.5,Total,Male,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PF Imported,Under 5 Years,Female,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PF Imported.1,Under 5 Years,Male,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PF Imported.2,5 Years & Above,Female,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PF Imported.3,5 Years & Above,Male,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PF Imported.4,Total,Female,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PF Imported.5,Total,Male,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PM Indigenous,Under 5 Years,Female,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PM Indigenous.1,Under 5 Years,Male,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PM Indigenous.2,5 Years & Above,Female,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PM Indigenous.3,5 Years & Above,Male,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PM Indigenous.4,Total,Female,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PM Indigenous.5,Total,Male,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PM Imported,Under 5 Years,Female,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PM Imported.1,Under 5 Years,Male,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PM Imported.2,5 Years & Above,Female,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PM Imported.3,5 Years & Above,Male,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PM Imported.4,Total,Female,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,PM Imported.5,Total,Male,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Indigenous,Under 5 Years,Female,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Indigenous.1,Under 5 Years,Male,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Indigenous.2,5 Years & Above,Female,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Indigenous.3,5 Years & Above,Male,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Indigenous.4,Total,Female,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Indigenous.5,Total,Male,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Imported,Under 5 Years,Female,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Imported.1,Under 5 Years,Male,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Imported.2,5 Years & Above,Female,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Imported.3,5 Years & Above,Male,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Imported.4,Total,Female,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Imported.5,Total,Male,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Indigenous,Under 5 Years,Female,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Indigenous.1,Under 5 Years,Male,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Indigenous.2,5 Years & Above,Female,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Indigenous.3,5 Years & Above,Male,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Indigenous.4,Total,Female,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Indigenous.5,Total,Male,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Imported,Under 5 Years,Female,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Imported.1,Under 5 Years,Male,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Imported.2,5 Years & Above,Female,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Imported.3,5 Years & Above,Male,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Imported.4,Total,Female,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Imported.5,Total,Male,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Indigenous,Under 5 Years,Female,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Indigenous.1,Under 5 Years,Male,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Indigenous.2,5 Years & Above,Female,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Indigenous.3,5 Years & Above,Male,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Indigenous.4,Total,Female,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Indigenous.5,Total,Male,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Imported,Under 5 Years,Female,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Imported.1,Under 5 Years,Male,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Imported.2,5 Years & Above,Female,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Imported.3,5 Years & Above,Male,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Imported.4,Total,Female,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Imported.5,Total,Male,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Indigenous,Under 5 Years,Female,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Indigenous.1,Under 5 Years,Male,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Indigenous.2,5 Years & Above,Female,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Indigenous.3,5 Years & Above,Male,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Indigenous.4,Total,Female,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Indigenous.5,Total,Male,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Imported,Under 5 Years,Female,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Imported.1,Under 5 Years,Male,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Imported.2,5 Years & Above,Female,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Imported.3,5 Years & Above,Male,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Imported.4,Total,Female,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Imported.5,Total,Male,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Indigenous,Under 5 Years,Female,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Indigenous.1,Under 5 Years,Male,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Indigenous.2,5 Years & Above,Female,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Indigenous.3,5 Years & Above,Male,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Indigenous.4,Total,Female,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Indigenous.5,Total,Male,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Imported,Under 5 Years,Female,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Imported.1,Under 5 Years,Male,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Imported.2,5 Years & Above,Female,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Imported.3,5 Years & Above,Male,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Imported.4,Total,Female,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PF Imported.5,Total,Male,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Indigenous,Under 5 Years,Female,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Indigenous.1,Under 5 Years,Male,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Indigenous.2,5 Years & Above,Female,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Indigenous.3,5 Years & Above,Male,1
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Indigenous.4,Total,Female,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Indigenous.5,Total,Male,1
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Imported,Under 5 Years,Female,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Imported.1,Under 5 Years,Male,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Imported.2,5 Years & Above,Female,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Imported.3,5 Years & Above,Male,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Imported.4,Total,Female,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,PM Imported.5,Total,Male,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PF Indigenous,Under 5 Years,Female,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PF Indigenous.1,Under 5 Years,Male,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PF Indigenous.2,5 Years & Above,Female,1
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PF Indigenous.3,5 Years & Above,Male,1
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PF Indigenous.4,Total,Female,1
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PF Indigenous.5,Total,Male,1
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PF Imported,Under 5 Years,Female,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PF Imported.1,Under 5 Years,Male,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PF Imported.2,5 Years & Above,Female,2
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PF Imported.3,5 Years & Above,Male,3
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PF Imported.4,Total,Female,2
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PF Imported.5,Total,Male,3
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PM Indigenous,Under 5 Years,Female,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PM Indigenous.1,Under 5 Years,Male,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PM Indigenous.2,5 Years & Above,Female,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PM Indigenous.3,5 Years & Above,Male,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PM Indigenous.4,Total,Female,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PM Indigenous.5,Total,Male,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PM Imported,Under 5 Years,Female,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PM Imported.1,Under 5 Years,Male,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PM Imported.2,5 Years & Above,Female,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PM Imported.3,5 Years & Above,Male,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PM Imported.4,Total,Female,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,PM Imported.5,Total,Male,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PF Indigenous,Under 5 Years,Female,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PF Indigenous.1,Under 5 Years,Male,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PF Indigenous.2,5 Years & Above,Female,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PF Indigenous.3,5 Years & Above,Male,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PF Indigenous.4,Total,Female,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PF Indigenous.5,Total,Male,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PF Imported,Under 5 Years,Female,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PF Imported.1,Under 5 Years,Male,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PF Imported.2,5 Years & Above,Female,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PF Imported.3,5 Years & Above,Male,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PF Imported.4,Total,Female,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PF Imported.5,Total,Male,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PM Indigenous,Under 5 Years,Female,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PM Indigenous.1,Under 5 Years,Male,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PM Indigenous.2,5 Years & Above,Female,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PM Indigenous.3,5 Years & Above,Male,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PM Indigenous.4,Total,Female,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PM Indigenous.5,Total,Male,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PM Imported,Under 5 Years,Female,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PM Imported.1,Under 5 Years,Male,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PM Imported.2,5 Years & Above,Female,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PM Imported.3,5 Years & Above,Male,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PM Imported.4,Total,Female,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,PM Imported.5,Total,Male,0
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,PF Indigenous,Under 5 Years,Female,0
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,PF Indigenous.1,Under 5 Years,Male,0
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,PF Indigenous.2,5 Years & Above,Female,0
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,PF Indigenous.3,5 Years & Above,Male,1
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,PF Indigenous.4,Total,Female,0
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,PF Indigenous.5,Total,Male,1
