District,Zone,Geographical Region,Development Region,Year BS,Year AD,Delivery type,Number of delivery
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Forecep delivery,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,C/S Delivery,0
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Spontaneous delivery,477
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Vaccum delivery,8
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Forecep delivery,3
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,C/S Delivery,0
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,Spontaneous delivery,1446
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,Vaccum delivery,17
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,Forecep delivery,0
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,C/S Delivery,19
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,Spontaneous delivery,737
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,Vaccum delivery,0
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,Forecep delivery,0
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,C/S Delivery,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Spontaneous delivery,684
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Vaccum delivery,20
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Forecep delivery,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,C/S Delivery,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Spontaneous delivery,1113
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Vaccum delivery,3
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Forecep delivery,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,C/S Delivery,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Spontaneous delivery,2414
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Vaccum delivery,20
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Forecep delivery,2
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,C/S Delivery,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Spontaneous delivery,2951
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Vaccum delivery,30
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Forecep delivery,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,C/S Delivery,28
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Spontaneous delivery,2019
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Vaccum delivery,38
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Forecep delivery,14
Doti,Seti,Hill,Far-Western,2068/69,2011/12,C/S Delivery,9
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,Spontaneous delivery,10628
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,Vaccum delivery,423
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,Forecep delivery,8
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,C/S Delivery,688
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,Spontaneous delivery,5762
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,Vaccum delivery,40
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,Forecep delivery,5
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,C/S Delivery,23
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,Spontaneous delivery,1725
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,Vaccum delivery,351
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,Forecep delivery,60
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,C/S Delivery,103
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Spontaneous delivery,1137
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Vaccum delivery,26
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Forecep delivery,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,C/S Delivery,2
Darchaula,Mahakali,Mountain,Far-Western,2068/69,2011/12,Spontaneous delivery,1631
Darchaula,Mahakali,Mountain,Far-Western,2068/69,2011/12,Vaccum delivery,50
Darchaula,Mahakali,Mountain,Far-Western,2068/69,2011/12,Forecep delivery,6
Darchaula,Mahakali,Mountain,Far-Western,2068/69,2011/12,C/S Delivery,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,"Spontaneous
Delivery",1242
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Vacuum Delivery,7
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Forcep Delivery,14
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,C/S Delivery,24
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,"Spontaneous
Delivery",1803
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Vacuum Delivery,74
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Forcep Delivery,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,C/S Delivery,87
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,"Spontaneous
Delivery",1735
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,Vacuum Delivery,135
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,Forcep Delivery,3
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,C/S Delivery,72
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,"Spontaneous
Delivery",7622
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,Vacuum Delivery,1317
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,Forcep Delivery,210
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,C/S Delivery,5039
Morang,Kosi,Terai,Eastern,2069/70,2012/13,"Spontaneous
Delivery",11391
Morang,Kosi,Terai,Eastern,2069/70,2012/13,Vacuum Delivery,534
Morang,Kosi,Terai,Eastern,2069/70,2012/13,Forcep Delivery,20
Morang,Kosi,Terai,Eastern,2069/70,2012/13,C/S Delivery,4820
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,"Spontaneous
Delivery",12563
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,Vacuum Delivery,266
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,Forcep Delivery,3
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,C/S Delivery,3196
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,"Spontaneous
Delivery",1044
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,Vacuum Delivery,8
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,Forcep Delivery,0
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,C/S Delivery,6
Terhathum,Kosi,Hill,Eastern,2069/70,2012/13,"Spontaneous
Delivery",802
Terhathum,Kosi,Hill,Eastern,2069/70,2012/13,Vacuum Delivery,8
Terhathum,Kosi,Hill,Eastern,2069/70,2012/13,Forcep Delivery,0
Terhathum,Kosi,Hill,Eastern,2069/70,2012/13,C/S Delivery,0
