Date AD,,Variables,Values
25-Feb,Bhaktapur,Filter Number,B116 
25-Feb,Bhaktapur,PM10(æg/m?),138
26-Feb,Putalisadak,Head Number,4
26-Feb,Putalisadak,Filter Number,P130 
26-Feb,Putalisadak,PM10(æg/m?),226
26-Feb,Machhe Gaun,Head Number,6
26-Feb,Machhe Gaun,Filter Number,M130 
26-Feb,Machhe Gaun,PM10(æg/m?),26
26-Feb,Bhaktapur,Head Number,5
26-Feb,Bhaktapur,Filter Number,B117 
26-Feb,Bhaktapur,PM10(æg/m?),133
27-Feb,Putalisadak,Head Number,5
27-Feb,Putalisadak,Filter Number,P131 
27-Feb,Putalisadak,PM10(æg/m?),236
27-Feb,Machhe Gaun,Head Number,7
27-Feb,Machhe Gaun,Filter Number,M131 
27-Feb,Machhe Gaun,PM10(æg/m?),45
27-Feb,Bhaktapur,Head Number,6
27-Feb,Bhaktapur,Filter Number,B118 
27-Feb,Bhaktapur,PM10(æg/m?),127
28-Feb,Putalisadak,Head Number,6
28-Feb,Putalisadak,Filter Number,P132 
28-Feb,Putalisadak,PM10(æg/m?),232
28-Feb,Machhe Gaun,Head Number,8
28-Feb,Machhe Gaun,Filter Number,M132 
28-Feb,Machhe Gaun,PM10(æg/m?),42
28-Feb,Bhaktapur,Head Number,7
28-Feb,Bhaktapur,Filter Number,B119 
28-Feb,Bhaktapur,PM10(æg/m?),112
1-Mar,Putalisadak,Head Number,7
1-Mar,Putalisadak,Filter Number,P133 
1-Mar,Putalisadak,PM10(æg/m?),133
1-Mar,Machhe Gaun,Head Number,1
1-Mar,Machhe Gaun,Filter Number,M133 
1-Mar,Machhe Gaun,PM10(æg/m?),21
1-Mar,Bhaktapur,Head Number,8
1-Mar,Bhaktapur,Filter Number,B120 
1-Mar,Bhaktapur,PM10(æg/m?),93
1-Mar,Bhaktapur,Remark,rainfall 
2-Mar,Putalisadak,Head Number,8
2-Mar,Putalisadak,Filter Number,P134 
2-Mar,Putalisadak,PM10(æg/m?),191
2-Mar,Machhe Gaun,Head Number,2
2-Mar,Machhe Gaun,Filter Number,M134 
2-Mar,Machhe Gaun,PM10(æg/m?),79
2-Mar,Bhaktapur,Head Number,1
2-Mar,Bhaktapur,Filter Number,B121 
2-Mar,Bhaktapur,PM10(æg/m?),102
3-Mar,Putalisadak,Head Number,1
3-Mar,Putalisadak,Filter Number,P135 
3-Mar,Putalisadak,PM10(æg/m?),299
3-Mar,Machhe Gaun,Head Number,3
3-Mar,Machhe Gaun,Filter Number,M135 
3-Mar,Machhe Gaun,PM10(æg/m?),54
3-Mar,Bhaktapur,Head Number,2
3-Mar,Bhaktapur,Filter Number,B122 
3-Mar,Bhaktapur,PM10(æg/m?),115
4-Mar,Putalisadak,Head Number,2
4-Mar,Putalisadak,Filter Number,P136 
4-Mar,Putalisadak,PM10(æg/m?),277
4-Mar,Machhe Gaun,Head Number,4
4-Mar,Machhe Gaun,Filter Number,M136 
4-Mar,Machhe Gaun,PM10(æg/m?),31
4-Mar,Bhaktapur,Head Number,3
4-Mar,Bhaktapur,Filter Number,B123 
4-Mar,Bhaktapur,PM10(æg/m?),115
5-Mar,Putalisadak,Head Number,3
5-Mar,Putalisadak,Filter Number,P137 
5-Mar,Putalisadak,PM10(æg/m?),213
5-Mar,Machhe Gaun,Head Number,5
5-Mar,Machhe Gaun,Filter Number,M137 
5-Mar,Machhe Gaun,PM10(æg/m?),46
5-Mar,Bhaktapur,Head Number,4
5-Mar,Bhaktapur,Filter Number,B124 
5-Mar,Bhaktapur,PM10(æg/m?),122
6-Mar,Putalisadak,Head Number,4
6-Mar,Putalisadak,Filter Number,P138 
6-Mar,Putalisadak,PM10(æg/m?),266
6-Mar,Machhe Gaun,Head Number,6
6-Mar,Machhe Gaun,Filter Number,M138 
6-Mar,Machhe Gaun,PM10(æg/m?),40
