District,zone,belt,region,Year BS,Year AD,Visit,Age group,Number of women,Zone,Belt,Region
Kailali,Seti,Terai,Far-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,7128,Seti,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2066/67,2009/10,First Visit,< 20 Year,1943,Mahakali,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2066/67,2009/10,First Visit,> or equal 20 Years,7929,Mahakali,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,4694,Mahakali,Terai,Far-Western
Taplejung,Mechi,Mountain,Eastern,2067/68,2010/11,First Visit,< 20 Year,593,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2067/68,2010/11,First Visit,> or equal 20 Years,2377,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2067/68,2010/11,Fourth Visit,Four Time Visits,1571,Mechi,Mountain,Eastern
Panchthar,Mechi,Hill,Eastern,2067/68,2010/11,First Visit,< 20 Year,618,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2067/68,2010/11,First Visit,> or equal 20 Years,3241,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2067/68,2010/11,Fourth Visit,Four Time Visits,2114,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2067/68,2010/11,First Visit,< 20 Year,1229,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2067/68,2010/11,First Visit,> or equal 20 Years,4137,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2067/68,2010/11,Fourth Visit,Four Time Visits,3405,Mechi,Hill,Eastern
Jhapa,Mechi,Terai,Eastern,2067/68,2010/11,First Visit,< 20 Year,4709,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2067/68,2010/11,First Visit,> or equal 20 Years,19418,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2067/68,2010/11,Fourth Visit,Four Time Visits,15896,Mechi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2067/68,2010/11,First Visit,< 20 Year,4986,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2067/68,2010/11,First Visit,> or equal 20 Years,19059,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2067/68,2010/11,Fourth Visit,Four Time Visits,12210,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2067/68,2010/11,First Visit,< 20 Year,3640,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2067/68,2010/11,First Visit,> or equal 20 Years,13816,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2067/68,2010/11,Fourth Visit,Four Time Visits,9693,Kosi,Terai,Eastern
Dhankuta,Kosi,Hill,Eastern,2067/68,2010/11,First Visit,< 20 Year,560,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2067/68,2010/11,First Visit,> or equal 20 Years,2769,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2067/68,2010/11,Fourth Visit,Four Time Visits,1895,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2067/68,2010/11,First Visit,< 20 Year,448,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2067/68,2010/11,First Visit,> or equal 20 Years,1574,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2067/68,2010/11,Fourth Visit,Four Time Visits,1008,Kosi,Hill,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2067/68,2010/11,First Visit,< 20 Year,747,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2067/68,2010/11,First Visit,> or equal 20 Years,2514,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2067/68,2010/11,Fourth Visit,Four Time Visits,1498,Kosi,Mountain,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,First Visit,< 20 Year,610,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,First Visit,> or equal 20 Years,2614,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Fourth Visit,Four Time Visits,1430,Kosi,Hill,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2067/68,2010/11,First Visit,< 20 Year,450,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2067/68,2010/11,First Visit,> or equal 20 Years,2398,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2067/68,2010/11,Fourth Visit,Four Time Visits,2332,Sagarmatha,Mountain,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2067/68,2010/11,First Visit,< 20 Year,625,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2067/68,2010/11,First Visit,> or equal 20 Years,2449,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2067/68,2010/11,Fourth Visit,Four Time Visits,1477,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2067/68,2010/11,First Visit,< 20 Year,981,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2067/68,2010/11,First Visit,> or equal 20 Years,3699,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2067/68,2010/11,Fourth Visit,Four Time Visits,3269,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2067/68,2010/11,First Visit,< 20 Year,1249,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2067/68,2010/11,First Visit,> or equal 20 Years,5123,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2067/68,2010/11,Fourth Visit,Four Time Visits,3894,Sagarmatha,Hill,Eastern
Saptari,Sagarmatha,Terai,Eastern,2067/68,2010/11,First Visit,< 20 Year,1991,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2067/68,2010/11,First Visit,> or equal 20 Years,16009,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2067/68,2010/11,Fourth Visit,Four Time Visits,12463,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,First Visit,< 20 Year,3212,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,First Visit,> or equal 20 Years,15523,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,Fourth Visit,Four Time Visits,11753,Sagarmatha,Terai,Eastern
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,First Visit,< 20 Year,4969,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,First Visit,> or equal 20 Years,15194,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Fourth Visit,Four Time Visits,9491,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,First Visit,< 20 Year,3140,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,First Visit,> or equal 20 Years,15759,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Fourth Visit,Four Time Visits,14849,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,First Visit,< 20 Year,5050,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,First Visit,> or equal 20 Years,15564,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Fourth Visit,Four Time Visits,7816,Janakpur,Terai,Central
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,First Visit,< 20 Year,894,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,First Visit,> or equal 20 Years,3942,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Fourth Visit,Four Time Visits,2147,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,First Visit,< 20 Year,707,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,First Visit,> or equal 20 Years,2991,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Fourth Visit,Four Time Visits,2524,Janakpur,Hill,Central
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,First Visit,< 20 Year,884,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,First Visit,> or equal 20 Years,3937,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Fourth Visit,Four Time Visits,2557,Janakpur,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,First Visit,< 20 Year,964,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,First Visit,> or equal 20 Years,4128,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Fourth Visit,Four Time Visits,2326,Bagmati,Mountain,Central
Kavre,Bagmati,Hill,Central,2067/68,2010/11,First Visit,< 20 Year,1710,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2067/68,2010/11,First Visit,> or equal 20 Years,8349,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Fourth Visit,Four Time Visits,5241,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,First Visit,< 20 Year,1099,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,First Visit,> or equal 20 Years,12753,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Fourth Visit,Four Time Visits,9747,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,First Visit,< 20 Year,810,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,First Visit,> or equal 20 Years,2955,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Fourth Visit,Four Time Visits,1781,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2067/68,2010/11,First Visit,< 20 Year,5684,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2067/68,2010/11,First Visit,> or equal 20 Years,26434,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2067/68,2010/11,Fourth Visit,Four Time Visits,23550,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2067/68,2010/11,First Visit,< 20 Year,1271,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2067/68,2010/11,First Visit,> or equal 20 Years,3788,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2067/68,2010/11,Fourth Visit,Four Time Visits,2166,Bagmati,Hill,Central
Rasuwa,Bagmati,Mountain,Central,2067/68,2010/11,First Visit,< 20 Year,175,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2067/68,2010/11,First Visit,> or equal 20 Years,671,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2067/68,2010/11,Fourth Visit,Four Time Visits,557,Bagmati,Mountain,Central
Dhading,Bagmati,Hill,Central,2067/68,2010/11,First Visit,< 20 Year,2123,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2067/68,2010/11,First Visit,> or equal 20 Years,6169,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2067/68,2010/11,Fourth Visit,Four Time Visits,4885,Bagmati,Hill,Central
Makwanpur,Narayani,Hill,Central,2067/68,2010/11,First Visit,< 20 Year,1842,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2067/68,2010/11,First Visit,> or equal 20 Years,5907,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2067/68,2010/11,Fourth Visit,Four Time Visits,3991,Narayani,Hill,Central
Rautahat,Narayani,Terai,Central,2067/68,2010/11,First Visit,< 20 Year,3329,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2067/68,2010/11,First Visit,> or equal 20 Years,15625,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2067/68,2010/11,Fourth Visit,Four Time Visits,11060,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2067/68,2010/11,First Visit,< 20 Year,3598,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2067/68,2010/11,First Visit,> or equal 20 Years,13199,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2067/68,2010/11,Fourth Visit,Four Time Visits,9155,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2067/68,2010/11,First Visit,< 20 Year,0,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2067/68,2010/11,First Visit,> or equal 20 Years,12899,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2067/68,2010/11,Fourth Visit,Four Time Visits,7626,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2067/68,2010/11,First Visit,< 20 Year,4235,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2067/68,2010/11,First Visit,> or equal 20 Years,12355,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2067/68,2010/11,Fourth Visit,Four Time Visits,8581,Narayani,Terai,Central
Gorkha,Gandaki,Hill,Western,2067/68,2010/11,First Visit,< 20 Year,1124,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2067/68,2010/11,First Visit,> or equal 20 Years,4470,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2067/68,2010/11,Fourth Visit,Four Time Visits,2566,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2067/68,2010/11,First Visit,< 20 Year,1082,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2067/68,2010/11,First Visit,> or equal 20 Years,3698,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2067/68,2010/11,Fourth Visit,Four Time Visits,3002,Gandaki,Hill,Western
Tanahu,Gandaki,Hill,Western,2067/68,2010/11,First Visit,< 20 Year,1820,Gandaki,Hill,Western
Tanahu,Gandaki,Hill,Western,2067/68,2010/11,First Visit,> or equal 20 Years,4395,Gandaki,Hill,Western
Tanahu,Gandaki,Hill,Western,2067/68,2010/11,Fourth Visit,Four Time Visits,3243,Gandaki,Hill,Western
Syangja,Gandaki,Hill,Western,2067/68,2010/11,First Visit,< 20 Year,1186,Gandaki,Hill,Western
Syangja,Gandaki,Hill,Western,2067/68,2010/11,First Visit,> or equal 20 Years,6022,Gandaki,Hill,Western
Syangja,Gandaki,Hill,Western,2067/68,2010/11,Fourth Visit,Four Time Visits,4343,Gandaki,Hill,Western
Kaski,Gandaki,Hill,Western,2067/68,2010/11,First Visit,< 20 Year,3229,Gandaki,Hill,Western
Kaski,Gandaki,Hill,Western,2067/68,2010/11,First Visit,> or equal 20 Years,11707,Gandaki,Hill,Western
Kaski,Gandaki,Hill,Western,2067/68,2010/11,Fourth Visit,Four Time Visits,11235,Gandaki,Hill,Western
Manang,Gandaki,Mountain,Western,2067/68,2010/11,First Visit,< 20 Year,20,Gandaki,Mountain,Western
Manang,Gandaki,Mountain,Western,2067/68,2010/11,First Visit,> or equal 20 Years,59,Gandaki,Mountain,Western
Manang,Gandaki,Mountain,Western,2067/68,2010/11,Fourth Visit,Four Time Visits,33,Gandaki,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2067/68,2010/11,First Visit,< 20 Year,29,Dhawalagiri,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2067/68,2010/11,First Visit,> or equal 20 Years,158,Dhawalagiri,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2067/68,2010/11,Fourth Visit,Four Time Visits,105,Dhawalagiri,Mountain,Western
Myagdi,Dhawalagiri,Hill,Western,2067/68,2010/11,First Visit,< 20 Year,807,Dhawalagiri,Hill,Western
Myagdi,Dhawalagiri,Hill,Western,2067/68,2010/11,First Visit,> or equal 20 Years,2250,Dhawalagiri,Hill,Western
Myagdi,Dhawalagiri,Hill,Western,2067/68,2010/11,Fourth Visit,Four Time Visits,1726,Dhawalagiri,Hill,Western
Parbat,Dhawalagiri,Hill,Western,2067/68,2010/11,First Visit,< 20 Year,668,Dhawalagiri,Hill,Western
Parbat,Dhawalagiri,Hill,Western,2067/68,2010/11,First Visit,> or equal 20 Years,2293,Dhawalagiri,Hill,Western
Parbat,Dhawalagiri,Hill,Western,2067/68,2010/11,Fourth Visit,Four Time Visits,2270,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2067/68,2010/11,First Visit,< 20 Year,1607,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2067/68,2010/11,First Visit,> or equal 20 Years,5329,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2067/68,2010/11,Fourth Visit,Four Time Visits,3960,Dhawalagiri,Hill,Western
Gulmi,Lumbini,Hill,Western,2067/68,2010/11,First Visit,< 20 Year,1329,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2067/68,2010/11,First Visit,> or equal 20 Years,5587,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2067/68,2010/11,Fourth Visit,Four Time Visits,4597,Lumbini,Hill,Western
Palpa,Lumbini,Hill,Western,2067/68,2010/11,First Visit,< 20 Year,2046,Lumbini,Hill,Western
Palpa,Lumbini,Hill,Western,2067/68,2010/11,First Visit,> or equal 20 Years,7750,Lumbini,Hill,Western
Palpa,Lumbini,Hill,Western,2067/68,2010/11,Fourth Visit,Four Time Visits,3883,Lumbini,Hill,Western
Nawalparasi,Lumbini,Terai,Western,2067/68,2010/11,First Visit,< 20 Year,2747,Lumbini,Terai,Western
Nawalparasi,Lumbini,Terai,Western,2067/68,2010/11,First Visit,> or equal 20 Years,10952,Lumbini,Terai,Western
Nawalparasi,Lumbini,Terai,Western,2067/68,2010/11,Fourth Visit,Four Time Visits,8283,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2067/68,2010/11,First Visit,< 20 Year,0,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2067/68,2010/11,First Visit,> or equal 20 Years,27374,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2067/68,2010/11,Fourth Visit,Four Time Visits,15483,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2067/68,2010/11,First Visit,< 20 Year,1322,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2067/68,2010/11,First Visit,> or equal 20 Years,14461,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2067/68,2010/11,Fourth Visit,Four Time Visits,9770,Lumbini,Terai,Western
Arghakhanchi,Lumbini,Hill,Western,2067/68,2010/11,First Visit,< 20 Year,764,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2067/68,2010/11,First Visit,> or equal 20 Years,2799,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2067/68,2010/11,Fourth Visit,Four Time Visits,1878,Lumbini,Hill,Western
Pyuthan,Rapti,Hill,Mid-Western,2067/68,2010/11,First Visit,< 20 Year,1447,Rapti,Hill,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,2067/68,2010/11,First Visit,> or equal 20 Years,4767,Rapti,Hill,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,3237,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2067/68,2010/11,First Visit,< 20 Year,1361,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2067/68,2010/11,First Visit,> or equal 20 Years,3971,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,2831,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2067/68,2010/11,First Visit,< 20 Year,2026,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2067/68,2010/11,First Visit,> or equal 20 Years,4204,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,2109,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2067/68,2010/11,First Visit,< 20 Year,1630,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2067/68,2010/11,First Visit,> or equal 20 Years,3768,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,2197,Rapti,Hill,Mid-Western
Dang,Rapti,Terai,Mid-Western,2067/68,2010/11,First Visit,< 20 Year,4120,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2067/68,2010/11,First Visit,> or equal 20 Years,7938,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,6554,Rapti,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2067/68,2010/11,First Visit,< 20 Year,2461,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2067/68,2010/11,First Visit,> or equal 20 Years,9891,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,5709,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2067/68,2010/11,First Visit,< 20 Year,2404,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2067/68,2010/11,First Visit,> or equal 20 Years,6960,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,6082,Bheri,Terai,Mid-Western
Surkhet,Bheri,Hill,Mid-Western,2067/68,2010/11,First Visit,< 20 Year,3480,Bheri,Hill,Mid-Western
Surkhet,Bheri,Hill,Mid-Western,2067/68,2010/11,First Visit,> or equal 20 Years,6572,Bheri,Hill,Mid-Western
Surkhet,Bheri,Hill,Mid-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,6504,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2067/68,2010/11,First Visit,< 20 Year,1658,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2067/68,2010/11,First Visit,> or equal 20 Years,5438,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,4226,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2067/68,2010/11,First Visit,< 20 Year,1426,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2067/68,2010/11,First Visit,> or equal 20 Years,3385,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,1993,Bheri,Hill,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2067/68,2010/11,First Visit,< 20 Year,109,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2067/68,2010/11,First Visit,> or equal 20 Years,554,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,325,Karnali,Mountain,Mid-Western
Jumla,Karnali,Mountain,Mid-Western,2067/68,2010/11,First Visit,< 20 Year,1126,Karnali,Mountain,Mid-Western
Jumla,Karnali,Mountain,Mid-Western,2067/68,2010/11,First Visit,> or equal 20 Years,2645,Karnali,Mountain,Mid-Western
Jumla,Karnali,Mountain,Mid-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,1476,Karnali,Mountain,Mid-Western
Kalikot,Karnali,Mountain,Mid-Western,2067/68,2010/11,First Visit,< 20 Year,921,Karnali,Mountain,Mid-Western
Kalikot,Karnali,Mountain,Mid-Western,2067/68,2010/11,First Visit,> or equal 20 Years,3467,Karnali,Mountain,Mid-Western
Kalikot,Karnali,Mountain,Mid-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,994,Karnali,Mountain,Mid-Western
Mugu,Karnali,Mountain,Mid-Western,2067/68,2010/11,First Visit,< 20 Year,482,Karnali,Mountain,Mid-Western
Mugu,Karnali,Mountain,Mid-Western,2067/68,2010/11,First Visit,> or equal 20 Years,1318,Karnali,Mountain,Mid-Western
Mugu,Karnali,Mountain,Mid-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,745,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2067/68,2010/11,First Visit,< 20 Year,371,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2067/68,2010/11,First Visit,> or equal 20 Years,1417,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,1035,Karnali,Mountain,Mid-Western
Bajura,Seti,Mountain,Far-Western,2067/68,2010/11,First Visit,< 20 Year,531,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2067/68,2010/11,First Visit,> or equal 20 Years,3207,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,1317,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2067/68,2010/11,First Visit,< 20 Year,1172,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2067/68,2010/11,First Visit,> or equal 20 Years,4564,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,2280,Seti,Mountain,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,First Visit,< 20 Year,1511,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,First Visit,> or equal 20 Years,6761,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,4646,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2067/68,2010/11,First Visit,< 20 Year,1101,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2067/68,2010/11,First Visit,> or equal 20 Years,6081,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,3243,Seti,Hill,Far-Western
Kailali,Seti,Terai,Far-Western,2067/68,2010/11,First Visit,< 20 Year,3028,Seti,Terai,Far-Western
Kailali,Seti,Terai,Far-Western,2067/68,2010/11,First Visit,> or equal 20 Years,10258,Seti,Terai,Far-Western
Kailali,Seti,Terai,Far-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,8146,Seti,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2067/68,2010/11,First Visit,< 20 Year,1871,Mahakali,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2067/68,2010/11,First Visit,> or equal 20 Years,7424,Mahakali,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,4996,Mahakali,Terai,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,First Visit,< 20 Year,1767,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,First Visit,> or equal 20 Years,6032,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,2822,Mahakali,Hill,Far-Western
